"Index","Chapter","Thought","D: Original","D: Refashioned","D: Elegant","D: Summary","D: Distilled","Notes"
"","","","<a href=""https://www.gutenberg.org/cache/epub/17611/pg17611-images.html"">Summa Theologica, Part I (Prima Pars) - Thomas Aquinas (Dominican Province translation)</a>","<a href=""https://www.gutenberg.org/cache/epub/17611/pg17611-images.html"">Summa Theologica I - Aquinas</a> - Refashioned","<a href=""https://www.gutenberg.org/cache/epub/17611/pg17611-images.html"">Summa Theologica I - Aquinas</a> - Elegant","","",""
"1.0","Q1: The Nature and Extent of Sacred Doctrine","0","To place our purpose within proper limits, we first endeavor to investigate the nature and extent of this sacred doctrine. Concerning this there are ten points of inquiry:

(1) Whether it is necessary?

(2) Whether it is a science?

(3) Whether it is one or many?

(4) Whether it is speculative or practical?

(5) How it is compared with other sciences?

(6) Whether it is the same as wisdom?

(7) Whether God is its subject-matter?

(8) Whether it is a matter of argument?

(9) Whether it rightly employs metaphors and similes?

(10) Whether the Sacred Scripture of this doctrine may be expounded in different senses?","Question 1 asks whether theology — what Aquinas calls ""sacred doctrine"" — is a legitimate discipline. Ten articles investigate whether it's necessary, whether it qualifies as a science, whether it's one unified field or many, whether it's theoretical or practical, how it ranks against other sciences, whether it counts as wisdom, whether God is its proper subject, whether it uses argument, whether it can employ metaphor, and whether Scripture can carry multiple layers of meaning.","Before asking what is true, ask whether truth has a discipline. Aquinas opens the Summa by interrogating theology itself: does it deserve to exist? Is it one science or many? Does it rank above or below philosophy? Can it argue, or only assert? Can it speak in metaphor? Can its texts mean more than one thing at once? Ten articles, aimed at the foundations beneath the foundations.","","",""
"1.1","Q1: The Nature and Extent of Sacred Doctrine","1","FIRST ARTICLE [I, Q. 1, Art. 1]

Whether, besides Philosophy, any Further Doctrine Is Required?

Objection 1: It seems that, besides philosophical science, we have no need of any further knowledge. For man should not seek to know what is above reason: ""Seek not the things that are too high for thee"" (Ecclus. 3:22). But whatever is not above reason is fully treated of in philosophical science. Therefore any other knowledge besides philosophical science is superfluous.

Obj. 2: Further, knowledge can be concerned only with being, for nothing can be known, save what is true; and all that is, is true. But everything that is, is treated of in philosophical science—even God Himself; so that there is a part of philosophy called theology, or the divine science, as Aristotle has proved (Metaph. vi). Therefore, besides philosophical science, there is no need of any further knowledge.

On the contrary, It is written (2 Tim. 3:16): ""All Scripture inspired of God is profitable to teach, to reprove, to correct, to instruct in justice."" Now Scripture, inspired of God, is no part of philosophical science, which has been built up by human reason. Therefore it is useful that besides philosophical science, there should be other knowledge, i.e. inspired of God.

I answer that, It was necessary for man's salvation that there should be a knowledge revealed by God besides philosophical science built up by human reason. Firstly, indeed, because man is directed to God, as to an end that surpasses the grasp of his reason: ""The eye hath not seen, O God, besides Thee, what things Thou hast prepared for them that wait for Thee"" (Isa. 66:4). But the end must first be known by men who are to direct their thoughts and actions to the end. Hence it was necessary for the salvation of man that certain truths which exceed human reason should be made known to him by divine revelation. Even as regards those truths about God which human reason could have discovered, it was necessary that man should be taught by a divine revelation; because the truth about God such as reason could discover, would only be known by a few, and that after a long time, and with the admixture of many errors. Whereas man's whole salvation, which is in God, depends upon the knowledge of this truth. Therefore, in order that the salvation of men might be brought about more fitly and more surely, it was necessary that they should be taught divine truths by divine revelation. It was therefore necessary that besides philosophical science built up by reason, there should be a sacred science learned through revelation.

Reply Obj. 1: Although those things which are beyond man's knowledge may not be sought for by man through his reason, nevertheless, once they are revealed by God, they must be accepted by faith. Hence the sacred text continues, ""For many things are shown to thee above the understanding of man"" (Ecclus. 3:25). And in this, the sacred science consists.

Reply Obj. 2: Sciences are differentiated according to the various means through which knowledge is obtained. For the astronomer and the physicist both may prove the same conclusion: that the earth, for instance, is round: the astronomer by means of mathematics (i.e. abstracting from matter), but the physicist by means of matter itself. Hence there is no reason why those things which may be learned from philosophical science, so far as they can be known by natural reason, may not also be taught us by another science so far as they fall within revelation. Hence theology included in sacred doctrine differs in kind from that theology which is part of philosophy.","Some argue that philosophy already covers everything worth knowing — if it's within reason, philosophy handles it, and if it's beyond reason, we shouldn't pursue it anyway. Others point out that even God is studied within philosophy (Aristotle's metaphysics includes a ""theology""), so a separate divine science seems redundant.

Both objections miss the point. Theology is necessary for a simple, practical reason: human beings need to know truths that exceed what reason can discover on its own. If our ultimate purpose lies beyond what our minds can independently reach — and it does, if that purpose is God — then we need that purpose revealed to us. You can't aim at a target you can't see.

Even for truths about God that reason could theoretically reach, revelation is still necessary. Left to philosophy alone, only a few people would arrive at those truths, and only after enormous effort, riddled with errors along the way. If knowledge of God matters for everyone — and Aquinas insists it does — then relying on philosophy alone is like relying on everyone to independently derive calculus. Most won't get there.

As for the overlap with philosophical theology: two disciplines can study the same subject through different methods. An astronomer and a physicist both prove the Earth is round — one through mathematics, the other through physical observation. Theology studies God through revelation; philosophy studies God through natural reason. Same subject, different starting points, different scope.","Philosophy can take you far, but it cannot take you all the way. The destination we are made for exceeds the reach of unaided reason, and even the truths reason could reach in principle, it reaches slowly, uncertainly, and for the few. Revelation is not a crutch for weak minds. It is the only reliable road to truths that matter most and matter to everyone.","","",""
"1.2","Q1: The Nature and Extent of Sacred Doctrine","2","SECOND ARTICLE [I, Q. 1, Art. 2]

Whether Sacred Doctrine Is a Science?

Objection 1: It seems that sacred doctrine is not a science. For every science proceeds from self-evident principles. But sacred doctrine proceeds from articles of faith which are not self-evident, since their truth is not admitted by all: ""For all men have not faith"" (2 Thess. 3:2). Therefore sacred doctrine is not a science.

Obj. 2: Further, no science deals with individual facts. But this sacred science treats of individual facts, such as the deeds of Abraham, Isaac and Jacob and such like. Therefore sacred doctrine is not a science.

On the contrary, Augustine says (De Trin. xiv, 1) ""to this science alone belongs that whereby saving faith is begotten, nourished, protected and strengthened."" But this can be said of no science except sacred doctrine. Therefore sacred doctrine is a science.

I answer that, Sacred doctrine is a science. We must bear in mind that there are two kinds of sciences. There are some which proceed from a principle known by the natural light of intelligence, such as arithmetic and geometry and the like. There are some which proceed from principles known by the light of a higher science: thus the science of perspective proceeds from principles established by geometry, and music from principles established by arithmetic. So it is that sacred doctrine is a science because it proceeds from principles established by the light of a higher science, namely, the science of God and the blessed. Hence, just as the musician accepts on authority the principles taught him by the mathematician, so sacred science is established on principles revealed by God.

Reply Obj. 1: The principles of any science are either in themselves self-evident, or reducible to the conclusions of a higher science; and such, as we have said, are the principles of sacred doctrine.

Reply Obj. 2: Individual facts are treated of in sacred doctrine, not because it is concerned with them principally, but they are introduced rather both as examples to be followed in our lives (as in moral sciences) and in order to establish the authority of those men through whom the divine revelation, on which this sacred scripture or doctrine is based, has come down to us.","The objection is that a real science must start from self-evident principles — axioms everyone can see are true. Theology starts from articles of faith, which plenty of people reject. So it looks like theology fails the basic test for scientific status.

Aquinas's answer depends on a distinction between types of science. Some sciences — arithmetic, geometry — start from axioms known directly by the natural light of reason. But other sciences inherit their starting principles from a higher science: optics borrows from geometry, music theory borrows from mathematics. These subordinate sciences are no less rigorous; they simply take their foundations on trust from a discipline above them.

Theology works the same way. Its principles come from a higher science — God's own knowledge, shared through revelation. Just as a music theorist accepts the mathematician's proofs without re-deriving them, theology accepts revealed truths as its starting axioms. The fact that not everyone accepts those axioms doesn't make the discipline unscientific — it makes it dependent on a source of knowledge most people don't have direct access to.","A science need not prove its own starting points. Optics borrows its axioms from geometry; music borrows from arithmetic. Theology borrows from a higher science still: the knowledge God has of himself, shared through revelation. The theologian takes God's word on authority the way the optician takes the geometer's proofs. That the starting points are received, not self-evident, does not make the science less rigorous. It makes it dependent on a higher light.","","",""
"1.3","Q1: The Nature and Extent of Sacred Doctrine","3","THIRD ARTICLE [I, Q. 1, Art. 3]

Whether Sacred Doctrine Is One Science?

Objection 1: It seems that sacred doctrine is not one science; for according to the Philosopher (Poster. i) ""that science is one which treats only of one class of subjects."" But the creator and the creature, both of whom are treated of in sacred doctrine, cannot be grouped together under one class of subjects. Therefore sacred doctrine is not one science.

Obj. 2: Further, in sacred doctrine we treat of angels, corporeal creatures and human morality. But these belong to separate philosophical sciences. Therefore sacred doctrine cannot be one science.

On the contrary, Holy Scripture speaks of it as one science: ""Wisdom gave him the knowledge [scientiam] of holy things"" (Wis. 10:10).

I answer that, Sacred doctrine is one science. The unity of a faculty or habit is to be gauged by its object, not indeed, in its material aspect, but as regards the precise formality under which it is an object. For example, man, ass, stone agree in the one precise formality of being colored; and color is the formal object of sight. Therefore, because Sacred Scripture considers things precisely under the formality of being divinely revealed, whatever has been divinely revealed possesses the one precise formality of the object of this science; and therefore is included under sacred doctrine as under one science.

Reply Obj. 1: Sacred doctrine does not treat of God and creatures equally, but of God primarily, and of creatures only so far as they are referable to God as their beginning or end. Hence the unity of this science is not impaired.

Reply Obj. 2: Nothing prevents inferior faculties or habits from being differentiated by something which falls under a higher faculty or habit as well; because the higher faculty or habit regards the object in its more universal formality, as the object of the common sense is whatever affects the senses, including, therefore, whatever is visible or audible. Hence the common sense, although one faculty, extends to all the objects of the five senses. Similarly, objects which are the subject-matter of different philosophical sciences can yet be treated of by this one single sacred science under one aspect precisely so far as they can be included in revelation. So that in this way, sacred doctrine bears, as it were, the stamp of the divine science which is one and simple, yet extends to everything.","Theology covers an enormous range — God, angels, human morality, the physical world. In philosophy, these would be separate disciplines. So how can theology claim to be a single, unified science?

The answer is that a science's unity comes not from the diversity of topics it covers but from the single formal perspective under which it studies them. Vision, as a faculty, isn't fragmented because it perceives people, stones, and trees — all of them fall under its single formal object: color. Theology's single formal object is ""things as divinely revealed."" Everything it treats — whether God directly, or creatures in relation to God — falls under that one lens. It discusses creation and morality not as independent subjects but insofar as they are revealed aspects of the divine order. That's what holds it together as one science rather than many.","Theology treats God, angels, morality, and the material world -- subjects that philosophy would scatter across a dozen disciplines. What holds them together is a single lens: everything theology touches, it touches under the formality of divine revelation. One light, one science. The unity is not in the subject matter but in the gaze.","","",""
"1.4","Q1: The Nature and Extent of Sacred Doctrine","4","FOURTH ARTICLE [I, Q. 1, Art. 4]

Whether Sacred Doctrine Is a Practical Science?

Objection 1: It seems that sacred doctrine is a practical science; for
a practical science is that which ends in action according to the
Philosopher (Metaph. ii). But sacred doctrine is ordained to action:
""Be ye doers of the word, and not hearers only"" (James 1:22).
Therefore sacred doctrine is a practical science.

Obj. 2: Further, sacred doctrine is divided into the Old and the
New Law. But law implies a moral science which is a practical science.
Therefore sacred doctrine is a practical science.

On the contrary, Every practical science is concerned with human operations; as moral science is concerned with human acts, and architecture with buildings. But sacred doctrine is chiefly concerned with God, whose handiwork is especially man. Therefore it is not a practical but a speculative science.

I answer that, Sacred doctrine, being one, extends to things which belong to different philosophical sciences because it considers in each the same formal aspect, namely, so far as they can be known through divine revelation. Hence, although among the philosophical sciences one is speculative and another practical, nevertheless sacred doctrine includes both; as God, by one and the same science, knows both Himself and His works. Still, it is speculative rather than practical because it is more concerned with divine things than with human acts; though it does treat even of these latter, inasmuch as man is ordained by them to the perfect knowledge of God in which consists eternal bliss. This is a sufficient answer to the Objections.","Is theology theoretical (aimed at understanding) or practical (aimed at action)? It's both, but primarily theoretical. Because theology studies everything under the single lens of divine revelation, it naturally encompasses what philosophy would split into speculative and practical disciplines. But its primary concern is God himself — understanding the divine nature — not prescribing human behavior. It does address human action, but only insofar as that action is directed toward the ultimate goal of knowing God. The practical dimension serves the speculative one.","Theology is both contemplation and command, but contemplation comes first. It addresses human action only because action is how we move toward the knowledge of God that constitutes our final happiness. The practical serves the speculative. We act in order to see.","","",""
"1.5","Q1: The Nature and Extent of Sacred Doctrine","5","FIFTH ARTICLE [I, Q. 1, Art. 5]

Whether Sacred Doctrine Is Nobler than Other Sciences?

Objection 1: It seems that sacred doctrine is not nobler than other sciences; for the nobility of a science depends on the certitude it establishes. But other sciences, the principles of which cannot be doubted, seem to be more certain than sacred doctrine; for its principles—namely, articles of faith—can be doubted. Therefore other sciences seem to be nobler.

Obj. 2: Further, it is the sign of a lower science to depend upon a higher; as music depends on arithmetic. But sacred doctrine does in a sense depend upon philosophical sciences; for Jerome observes, in his Epistle to Magnus, that ""the ancient doctors so enriched their books with the ideas and phrases of the philosophers, that thou knowest not what more to admire in them, their profane erudition or their scriptural learning."" Therefore sacred doctrine is inferior to other sciences.

On the contrary, Other sciences are called the handmaidens of this one: ""Wisdom sent her maids to invite to the tower"" (Prov. 9:3).

I answer that, Since this science is partly speculative and partly practical, it transcends all others speculative and practical. Now one speculative science is said to be nobler than another, either by reason of its greater certitude, or by reason of the higher worth of its subject-matter. In both these respects this science surpasses other speculative sciences; in point of greater certitude, because other sciences derive their certitude from the natural light of human reason, which can err; whereas this derives its certitude from the light of divine knowledge, which cannot be misled: in point of the higher worth of its subject-matter because this science treats chiefly of those things which by their sublimity transcend human reason; while other sciences consider only those things which are within reason's grasp. Of the practical sciences, that one is nobler which is ordained to a further purpose, as political science is nobler than military science; for the good of the army is directed to the good of the State. But the purpose of this science, in so far as it is practical, is eternal bliss; to which as to an ultimate end the purposes of every practical science are directed. Hence it is clear that from every standpoint, it is nobler than other sciences.

Reply Obj. 1: It may well happen that what is in itself the more certain may seem to us the less certain on account of the weakness of our intelligence, ""which is dazzled by the clearest objects of nature; as the owl is dazzled by the light of the sun"" (Metaph. ii, lect. i). Hence the fact that some happen to doubt about articles of faith is not due to the uncertain nature of the truths, but to the weakness of human intelligence; yet the slenderest knowledge that may be obtained of the highest things is more desirable than the most certain knowledge obtained of lesser things, as is said in de Animalibus xi.

Reply Obj. 2: This science can in a sense depend upon the philosophical sciences, not as though it stood in need of them, but only in order to make its teaching clearer. For it accepts its principles not from other sciences, but immediately from God, by revelation. Therefore it does not depend upon other sciences as upon the higher, but makes use of them as of the lesser, and as handmaidens: even so the master sciences make use of the sciences that supply their materials, as political of military science. That it thus uses them is not due to its own defect or insufficiency, but to the defect of our intelligence, which is more easily led by what is known through natural reason (from which proceed the other sciences) to that which is above reason, such as are the teachings of this science.","Theology outranks every other science, both theoretical and practical.

On the theoretical side, a science's rank depends on two things: its certainty and the dignity of its subject matter. Theology surpasses on both counts. Its certainty comes from divine knowledge, which cannot err — unlike human reason, which regularly does. Its subject matter is the highest possible: truths that transcend what reason can reach at all. Other sciences only handle what fits within reason's grasp.

On the practical side, a science is ranked by the ultimate end it serves. Military science serves the state, so political science outranks it. Theology's practical end is eternal happiness — the ultimate end to which every other practical purpose is subordinate.

The objection that faith-based principles seem less certain than mathematical axioms confuses subjective ease with objective reliability. Mathematical truths are easier for us to grasp because our minds are built for that kind of abstraction. But the divine source of theology's principles is objectively more certain than human reason. An owl is dazzled by sunlight — that doesn't make the sun dim.

As for theology borrowing from philosophy: it uses philosophical concepts the way a master architect uses the work of laborers. The architect doesn't depend on the laborers for his authority — he employs their work to build something that exceeds their scope. Theology does the same with philosophy: using it for clarity, not for its foundations.","Every other science draws its certainty from human reason, which errs. Theology draws its certainty from divine knowledge, which cannot. Every other science studies what fits inside reason's grasp. Theology studies what surpasses it. Every practical science serves a penultimate end. Theology serves the ultimate one. The owl is dazzled by sunlight -- that does not make the sun dim. What seems least certain to us may be most certain in itself.","","",""
"1.6","Q1: The Nature and Extent of Sacred Doctrine","6","SIXTH ARTICLE [I, Q. 1, Art. 6]

Whether This Doctrine Is the Same as Wisdom?

Objection 1: It seems that this doctrine is not the same as wisdom. For no doctrine which borrows its principles is worthy of the name of wisdom; seeing that the wise man directs, and is not directed (Metaph. i). But this doctrine borrows its principles. Therefore this science is not wisdom.

Obj. 2: Further, it is a part of wisdom to prove the principles of other sciences. Hence it is called the chief of sciences, as is clear in Ethic. vi. But this doctrine does not prove the principles of other sciences. Therefore it is not the same as wisdom.

Obj. 3: Further, this doctrine is acquired by study, whereas wisdom is acquired by God's inspiration; so that it is numbered among the gifts of the Holy Spirit (Isa. 11:2). Therefore this doctrine is not the same as wisdom.

On the contrary, It is written (Deut. 4:6): ""This is your wisdom and understanding in the sight of nations.""

I answer that, This doctrine is wisdom above all human wisdom; not merely in any one order, but absolutely. For since it is the part of a wise man to arrange and to judge, and since lesser matters should be judged in the light of some higher principle, he is said to be wise in any one order who considers the highest principle in that order: thus in the order of building, he who plans the form of the house is called wise and architect, in opposition to the inferior laborers who trim the wood and make ready the stones: ""As a wise architect, I have laid the foundation"" (1 Cor. 3:10). Again, in the order of all human life, the prudent man is called wise, inasmuch as he directs his acts to a fitting end: ""Wisdom is prudence to a man"" (Prov. 10: 23). Therefore he who considers absolutely the highest cause of the whole universe, namely God, is most of all called wise. Hence wisdom is said to be the knowledge of divine things, as Augustine says (De Trin. xii, 14). But sacred doctrine essentially treats of God viewed as the highest cause—not only so far as He can be known through creatures just as philosophers knew Him—""That which is known of God is manifest in them"" (Rom. 1:19)—but also as far as He is known to Himself alone and revealed to others. Hence sacred doctrine is especially called wisdom.

Reply Obj. 1: Sacred doctrine derives its principles not from any human knowledge, but from the divine knowledge, through which, as through the highest wisdom, all our knowledge is set in order.

Reply Obj. 2: The principles of other sciences either are evident and cannot be proved, or are proved by natural reason through some other science. But the knowledge proper to this science comes through revelation and not through natural reason. Therefore it has no concern to prove the principles of other sciences, but only to judge of them. Whatsoever is found in other sciences contrary to any truth of this science must be condemned as false: ""Destroying counsels and every height that exalteth itself against the knowledge of God"" (2 Cor. 10:4, 5).

Reply Obj. 3: Since judgment appertains to wisdom, the twofold manner of judging produces a twofold wisdom. A man may judge in one way by inclination, as whoever has the habit of a virtue judges rightly of what concerns that virtue by his very inclination towards it. Hence it is the virtuous man, as we read, who is the measure and rule of human acts. In another way, by knowledge, just as a man learned in moral science might be able to judge rightly about virtuous acts, though he had not the virtue. The first manner of judging divine things belongs to that wisdom which is set down among the gifts of the Holy Ghost: ""The spiritual man judgeth all things"" (1 Cor. 2:15). And Dionysius says (Div. Nom. ii): ""Hierotheus is taught not by mere learning, but by experience of divine things."" The second manner of judging belongs to this doctrine which is acquired by study, though its principles are obtained by revelation.","Wisdom, in the classical sense, means understanding the highest principle in a given domain and using it to judge and order everything beneath it. The architect who designs the building is wiser than the carpenter who cuts the wood, because the architect grasps the overarching plan.

Theology is wisdom in the most absolute sense, because it deals with the highest cause of everything — God — and it does so not merely through what creatures can reveal about God (which is all philosophy can manage), but through what God has revealed about himself. No other discipline reaches higher.

The distinction between two kinds of wisdom matters here. One is experiential — the virtuous person judges rightly about virtue because they live it. This is the wisdom Scripture attributes to the Holy Spirit. The other is intellectual — the scholar who studies moral philosophy can judge rightly about virtue through knowledge, even without possessing the virtue personally. Theology as an academic discipline is this second kind: wisdom acquired through study, but grounded in principles that come from revelation rather than from natural reason alone.","The wise person is the one who grasps the highest principle and uses it to judge everything beneath it. The architect outranks the carpenter because the architect holds the plan. Theology grasps the highest principle absolutely -- God known not merely through his effects but through his own self-disclosure. It is therefore wisdom in its purest form: not the wisdom that comes from living rightly, but the wisdom that comes from knowing the highest thing, through the highest source.","","",""
"1.7","Q1: The Nature and Extent of Sacred Doctrine","7","SEVENTH ARTICLE [I, Q. 1, Art. 7]

Whether God Is the Object of This Science?

Objection 1: It seems that God is not the object of this science. For in every science, the nature of its object is presupposed. But this science cannot presuppose the essence of God, for Damascene says (De Fide Orth. i, iv): ""It is impossible to define the essence of God."" Therefore God is not the object of this science.

Obj. 2: Further, whatever conclusions are reached in any science must be comprehended under the object of the science. But in Holy Writ we reach conclusions not only concerning God, but concerning many other things, such as creatures and human morality. Therefore God is not the object of this science.

On the contrary, The object of the science is that of which it principally treats. But in this science, the treatment is mainly about God; for it is called theology, as treating of God. Therefore God is the object of this science.

I answer that, God is the object of this science. The relation between a science and its object is the same as that between a habit or faculty and its object. Now properly speaking, the object of a faculty or habit is the thing under the aspect of which all things are referred to that faculty or habit, as man and stone are referred to the faculty of sight in that they are colored. Hence colored things are the proper objects of sight. But in sacred science, all things are treated of under the aspect of God: either because they are God Himself or because they refer to God as their beginning and end. Hence it follows that God is in very truth the object of this science. This is clear also from the principles of this science, namely, the articles of faith, for faith is about God. The object of the principles and of the whole science must be the same, since the whole science is contained virtually in its principles. Some, however, looking to what is treated of in this science, and not to the aspect under which it is treated, have asserted the object of this science to be something other than God—that is, either things and signs; or the works of salvation; or the whole Christ, as the head and members. Of all these things, in truth, we treat in this science, but so far as they have reference to God.

Reply Obj. 1: Although we cannot know in what consists the essence of God, nevertheless in this science we make use of His effects, either of nature or of grace, in place of a definition, in regard to whatever is treated of in this science concerning God; even as in some philosophical sciences we demonstrate something about a cause from its effect, by taking the effect in place of a definition of the cause.

Reply Obj. 2: Whatever other conclusions are reached in this sacred science are comprehended under God, not as parts or species or accidents but as in some way related to Him.","God is theology's proper subject. Everything else it discusses — creation, morality, salvation — enters the picture only insofar as it relates to God as origin or destination.

The objection that we can't define God's essence, and therefore can't have him as a scientific subject, fails for the same reason it would fail in other sciences. We often study causes through their effects. We can't directly access God's essence, but we can use his effects — in nature and in grace — as a working substitute for a definition, just as scientists sometimes define a cause by what it produces. The subject of theology is God; the method of approaching that subject is through what God has done and revealed.","Everything theology discusses -- creation, morality, salvation -- enters the picture only insofar as it relates to God. God is not one topic among many. God is the subject, and everything else is a footnote. We cannot define his essence directly, but we can study a cause through its effects. The method is indirect; the subject is not.","","",""
"1.8a","Q1: The Nature and Extent of Sacred Doctrine","8a","EIGHTH ARTICLE [I, Q. 1, Art. 8]

Whether Sacred Doctrine is a Matter of Argument?

Objection 1: It seems this doctrine is not a matter of argument. For Ambrose says (De Fide 1): ""Put arguments aside where faith is sought."" But in this doctrine, faith especially is sought: ""But these things are written that you may believe"" (John 20:31). Therefore sacred doctrine is not a matter of argument.

Obj. 2: Further, if it is a matter of argument, the argument is either from authority or from reason. If it is from authority, it seems unbefitting its dignity, for the proof from authority is the weakest form of proof. But if it is from reason, this is unbefitting its end, because, according to Gregory (Hom. 26), ""faith has no merit in those things of which human reason brings its own experience."" Therefore sacred doctrine is not a matter of argument.

On the contrary, The Scripture says that a bishop should ""embrace that faithful word which is according to doctrine, that he may be able to exhort in sound doctrine and to convince the gainsayers"" (Titus 1:9).

I answer that, As other sciences do not argue in proof of their principles, but argue from their principles to demonstrate other truths in these sciences: so this doctrine does not argue in proof of its principles, which are the articles of faith, but from them it goes on to prove something else; as the Apostle from the resurrection of Christ argues in proof of the general resurrection (1 Cor. 15). However, it is to be borne in mind, in regard to the philosophical sciences, that the inferior sciences neither prove their principles nor dispute with those who deny them, but leave this to a higher science; whereas the highest of them, viz. metaphysics, can dispute with one who denies its principles, if only the opponent will make some concession; but if he concede nothing, it can have no dispute with him, though it can answer his objections. Hence Sacred Scripture, since it has no science above itself, can dispute with one who denies its principles only if the opponent admits some at least of the truths obtained through divine revelation; thus we can argue with heretics from texts in Holy Writ, and against those who deny one article of faith, we can argue from another. If our opponent believes nothing of divine revelation, there is no longer any means of proving the articles of faith by reasoning, but only of answering his objections—if he has any—against faith. Since faith rests upon infallible truth, and since the contrary of a truth can never be demonstrated, it is clear that the arguments brought against faith cannot be demonstrations, but are difficulties that can be answered.","Can theology make arguments, or must it simply assert its doctrines and demand acceptance?

It can argue — but not in every direction. Like any science, theology doesn't prove its own first principles. Geometry doesn't prove its axioms; it argues from them. Similarly, theology doesn't prove the articles of faith — it argues from them to further conclusions.

But there's an important wrinkle about engaging opponents. In philosophy, a lower science can't defend its borrowed principles — it leaves that to the higher science it depends on. Metaphysics, the highest philosophical science, can argue with someone who denies its principles only if that person concedes at least something. If they concede nothing, no argument is possible — only refutation of their objections.

Theology faces the same situation. Against heretics who accept some revealed truths but deny others, it can argue from the accepted truths. Against someone who rejects revelation entirely, it can't prove the faith through reasoning — but it can show that objections against the faith aren't sound. Since faith rests on infallible truth, any argument claiming to disprove it must contain a flaw, and that flaw can always be identified.","Theology argues -- but not in every direction. Like geometry, it does not prove its axioms; it reasons from them. Against those who share some of its premises, it can build demonstrations. Against those who share none, it can only dismantle objections. Since faith rests on infallible truth, any argument purporting to disprove it must contain a flaw. That flaw can always be found.","","",""
