"Index","Chapter","Thought","D: Original","D: Refashioned","D: Elegant","D: Summary","D: Distilled","Notes"
"","","","<a href=""http://classics.mit.edu//Aristotle/nicomachaen.html"">Nicomachean Ethics - Aristotle (W.D. Ross translation)</a>","<a href=""http://classics.mit.edu//Aristotle/nicomachaen.html"">Nicomachean Ethics - Aristotle</a> - Refashioned","","","",""
"1.1","1.1","1","Every art and every inquiry, and similarly every action and pursuit, is thought to aim at some good; and for this reason the good has rightly been declared to be that at which all things aim. But a certain difference is found among ends; some are activities, others are products apart from the activities that produce them. Where there are ends apart from the actions, it is the nature of the products to be better than the activities. Now, as there are many actions, arts, and sciences, their ends also are many; the end of the medical art is health, that of shipbuilding a vessel, that of strategy victory, that of economics wealth. But where such arts fall under a single capacity- as bridle-making and the other arts concerned with the equipment of horses fall under the art of riding, and this and every military action under strategy, in the same way other arts fall under yet others- in all of these the ends of the master arts are to be preferred to all the subordinate ends; for it is for the sake of the former that the latter are pursued. It makes no difference whether the activities themselves are the ends of the actions, or something else apart from the activities, as in the case of the sciences just mentioned.","Every craft and every systematic inquiry, and likewise every action and deliberate pursuit, is thought to aim at some good. This is why the good has rightly been described as that at which all things aim. However, there is a notable difference among ends: some ends are the activities themselves, while others are products that exist apart from the activities that produce them. Where the ends are products distinct from the activities, these products are by nature better than the activities that produce them. Now, since there are many actions, crafts, and sciences, their ends are correspondingly many: the end of medicine is health, of shipbuilding a vessel, of military strategy victory, of household management wealth. But wherever such crafts fall under a single overarching discipline -- as bridle-making and the other crafts concerned with equipping horses fall under horsemanship, and horsemanship together with every military endeavor falls under strategy, and in the same way other crafts fall under yet other master disciplines -- in all such cases the ends of the master disciplines are to be preferred over the ends of the subordinate ones, since the subordinate ends are pursued for the sake of the master ends. It makes no difference whether the activities themselves are the ends of the actions, or whether some further product beyond the activities is the end, as in the crafts just mentioned.","Every craft, inquiry, action, and pursuit aims at some good -- which is why the good has been defined as that at which all things aim. Ends differ, however: some are the activities themselves, others are products beyond them, and products are superior to the activities that produce them. Since crafts are organized hierarchically, with subordinate disciplines serving master ones, the ends of master disciplines are always to be preferred, for it is for their sake that the subordinate ends are pursued.","All human activities aim at some good, but goods are organized hierarchically. Subordinate crafts serve higher ones, and the ends of the higher crafts are always more important than those beneath them.","Every purposeful activity aims at some good, and goods are arranged in hierarchies where lesser ends serve greater ones.","This is the famous opening line of the Nicomachean Ethics, establishing teleology (purpose-directedness) as fundamental to understanding human action. The Greek word 'telos' (end/purpose) is central throughout. -- The hierarchical ordering of crafts anticipates the argument in 1.2 that politics is the 'master art.' -- The distinction between activities that are their own ends (energeiai) and those producing separate products (poieseis) recurs in Book VI and in the Metaphysics (Theta 6). -- This passage parallels the opening of the Eudemian Ethics (I.1)."
"1.2","1.2","2","If, then, there is some end of the things we do, which we desire for its own sake (everything else being desired for the sake of this), and if we do not choose everything for the sake of something else (for at that rate the process would go on to infinity, so that our desire would be empty and vain), clearly this must be the good and the chief good. Will not the knowledge of it, then, have a great influence on life? Shall we not, like archers who have a mark to aim at, be more likely to hit upon what is right? If so, we must try, in outline at least, to determine what it is, and of which of the sciences or capacities it is the object. It would seem to belong to the most authoritative art and that which is most truly the master art. And politics appears to be of this nature; for it is this that ordains which of the sciences should be studied in a state, and which each class of citizens should learn and up to what point they should learn them; and we see even the most highly esteemed of capacities to fall under this, e.g. strategy, economics, rhetoric; now, since politics uses the rest of the sciences, and since, again, it legislates as to what we are to do and what we are to abstain from, the end of this science must include those of the others, so that this end must be the good for man. For even if the end is the same for a single man and for a state, that of the state seems at all events something greater and more complete whether to attain or to preserve; though it is worth while to attain the end merely for one man, it is finer and more godlike to attain it for a nation or for city-states. These, then, are the ends at which our inquiry aims, since it is political science, in one sense of that term.","If, then, there is some end of everything we do that we desire for its own sake -- with everything else being desired for the sake of this -- and if we do not choose everything for the sake of something further (for then the chain would go on to infinity, making all desire empty and pointless), then clearly this ultimate end must be the good, indeed the chief good. Would not knowledge of this chief good have a profound influence on how we live? Would we not, like archers who have a target to aim at, be more likely to hit upon what is right? If so, we must try, at least in outline, to determine what this chief good is, and which science or discipline has it as its object.

It would seem to belong to the most authoritative and most truly master discipline. And political science appears to be of this nature; for it is political science that determines which disciplines should be studied in a city, which ones each class of citizens should learn, and to what extent. We see that even the most highly valued disciplines -- such as military strategy, household management, and rhetoric -- fall under its authority. Since political science makes use of all the other sciences and since it legislates about what we should do and what we should refrain from, its end must encompass the ends of all the others, so that this end must be the good for humankind. For even if the good is the same for a single individual and for a city-state, that of the city-state is clearly something greater and more complete, whether to achieve or to preserve. While it is worthwhile to achieve the good even for one person alone, it is nobler and more divine to achieve it for a nation or for city-states. These, then, are the aims of our inquiry, since it belongs to political science in one sense of that term.","If there is an ultimate end we desire for its own sake -- everything else being desired for the sake of it -- then this must be the chief good, and knowing it would guide our lives as a target guides an archer. This chief good belongs to the most authoritative discipline, which is political science, since it governs all other sciences and legislates what citizens should do. Its end encompasses every other end, making it the good for humankind. And while achieving this good for one person is worthwhile, achieving it for a city-state is nobler and more divine.","There must be an ultimate good that all other goods serve, or else desire would regress infinitely and become pointless. This chief good falls under political science, the master discipline that governs all others and legislates for the city-state. Achieving the good for a whole community is nobler than achieving it for an individual.","The chief good -- the ultimate aim of all human action -- belongs to political science, which governs all other disciplines and pursues the good of the whole community.","The 'archer' analogy is one of Aristotle's most famous images and recurs in ethical literature for centuries. -- The identification of ethics with political science reflects the Greek understanding that individual flourishing is inseparable from civic life; see also Politics I.2 (1253a), where man is called a 'political animal.' -- The infinite regress argument is a standard Aristotelian move; compare Metaphysics Alpha 2 (994a). -- The claim that the communal good is 'more divine' (theioteron) connects to Aristotle's teleological theology."
"1.3","1.3","3","Our discussion will be adequate if it has as much clearness as the subject-matter admits of, for precision is not to be sought for alike in all discussions, any more than in all the products of the crafts. Now fine and just actions, which political science investigates, admit of much variety and fluctuation of opinion, so that they may be thought to exist only by convention, and not by nature. And goods also give rise to a similar fluctuation because they bring harm to many people; for before now men have been undone by reason of their wealth, and others by reason of their courage. We must be content, then, in speaking of such subjects and with such premisses to indicate the truth roughly and in outline, and in speaking about things which are only for the most part true and with premisses of the same kind to reach conclusions that are no better. In the same spirit, therefore, should each type of statement be received; for it is the mark of an educated man to look for precision in each class of things just so far as the nature of the subject admits; it is evidently equally foolish to accept probable reasoning from a mathematician and to demand from a rhetorician scientific proofs.","Our discussion will be adequate if it achieves as much clarity as the subject matter allows, for the same degree of precision should not be expected in every inquiry, any more than in every product of craftsmanship. Now the subjects that political science investigates -- noble and just actions -- involve so much variety and inconsistency that they may seem to exist merely by convention rather than by nature. Even goods themselves produce a similar uncertainty, because they sometimes bring harm: people have been ruined by their wealth, and others by their courage. We must therefore be content, when speaking about such subjects and reasoning from such starting points, to indicate the truth roughly and in outline. When we speak about things that hold only for the most part, using premises of the same kind, we should expect conclusions of the same character. In this same spirit each of our statements should be received, for it is the mark of an educated person to seek only as much precision in each subject as the nature of that subject permits. It is equally foolish to accept merely probable reasoning from a mathematician and to demand rigorous proofs from an orator.","Our discussion need only be as precise as ethics allows, for noble and just actions involve too much variation for mathematical exactness. Goods themselves are uncertain -- wealth and courage can bring ruin. We must therefore reason roughly, from premises that hold for the most part, and accept conclusions of the same kind. The mark of an educated person is knowing how much precision each subject permits: it is as foolish to accept mere probability from a mathematician as to demand strict proof from an orator.","Ethics cannot achieve mathematical precision because its subject matter -- noble and just actions -- is inherently variable. An educated person recognizes that different fields require different standards of exactness and does not demand more rigor than the subject allows.","The mark of an educated mind is knowing how much precision each subject permits, and ethics by nature allows only rough generalization.","This methodological passage is one of the most cited in Aristotle's corpus. The principle of 'precision appropriate to the subject' (to akribes) is fundamental to Aristotle's epistemology. -- The claim that moral truths hold 'for the most part' (hos epi to polu) rather than universally is central to Aristotle's practical philosophy and distinguishes it from his theoretical sciences. -- The convention-vs-nature debate (nomos vs. physis) was a major theme among the Sophists and in Plato's dialogues (Republic, Gorgias). -- This passage influenced Thomas Aquinas's treatment of moral reasoning in the Summa Theologiae (I-II, q.94, a.4)."
"1.4","1.3","4","Now each man judges well the things he knows, and of these he is a good judge. And so the man who has been educated in a subject is a good judge of that subject, and the man who has received an all-round education is a good judge in general. Hence a young man is not a proper hearer of lectures on political science; for he is inexperienced in the actions that occur in life, but its discussions start from these and are about these; and, further, since he tends to follow his passions, his study will be vain and unprofitable, because the end aimed at is not knowledge but action. And it makes no difference whether he is young in years or youthful in character; the defect does not depend on time, but on his living, and pursuing each successive object, as passion directs. For to such persons, as to the incontinent, knowledge brings no profit; but to those who desire and act in accordance with a rational principle knowledge about such matters will be of great benefit.

These remarks about the student, the sort of treatment to be expected, and the purpose of the inquiry, may be taken as our preface.","Each person judges well about the things they know, and in those domains they are a good judge. Someone educated in a particular subject judges that subject well; someone who has received an all-round education judges well in general. This is why a young person is not a suitable student of political science: they lack experience in the actions of life, and the discussions of this subject begin from and concern such actions. Furthermore, since young people tend to be led by their passions, their study will be empty and unprofitable, because the aim of this inquiry is not mere knowledge but action. And it makes no difference whether someone is young in years or youthful in character; the deficiency does not depend on age but on living and pursuing each successive goal as passion dictates. For such people, like those who lack self-control, knowledge brings no benefit. But for those who form their desires and act in accordance with a rational principle, knowledge about these matters will be enormously valuable.

Let these remarks about the student, the kind of treatment to expect, and the purpose of this inquiry serve as our preface.","One judges well only what one knows. A young person is therefore an unsuitable student of political science, lacking the life experience from which ethical discussions begin. Moreover, since the young are driven by passion and this inquiry aims at action rather than mere knowledge, their study will be fruitless. The deficiency is not about age but about character: anyone who lives at the mercy of passion gains nothing from ethical knowledge. Only those who desire and act according to rational principle will benefit.","Ethical study requires life experience and emotional maturity, not just intellectual ability. Since ethics aims at action rather than mere knowledge, those who are governed by passion -- whether young in years or in character -- will gain nothing from it.","Ethics requires not just intellectual capacity but life experience and emotional maturity, since its aim is right action, not mere knowledge.","The distinction between knowledge (gnosis) and action (praxis) as the aim of inquiry is fundamental to Aristotle's division of sciences into theoretical, practical, and productive (Metaphysics VI.1). -- The 'incontinent' (akratikos) person -- who knows the good but fails to do it -- is treated at length in Book VII. -- The claim that character rather than age determines readiness for ethical study challenges mere seniority as a qualification for wisdom. -- This passage establishes that the Nicomachean Ethics is a practical work: its purpose is to make us good, not merely to understand goodness."
"1.5","1.4","5","Let us resume our inquiry and state, in view of the fact that all knowledge and every pursuit aims at some good, what it is that we say political science aims at and what is the highest of all goods achievable by action. Verbally there is very general agreement; for both the general run of men and people of superior refinement say that it is happiness, and identify living well and doing well with being happy; but with regard to what happiness is they differ, and the many do not give the same account as the wise. For the former think it is some plain and obvious thing, like pleasure, wealth, or honour; they differ, however, from one another- and often even the same man identifies it with different things, with health when he is ill, with wealth when he is poor; but, conscious of their ignorance, they admire those who proclaim some great ideal that is above their comprehension. Now some thought that apart from these many goods there is another which is self-subsistent and causes the goodness of all these as well. To examine all the opinions that have been held were perhaps somewhat fruitless; enough to examine those that are most prevalent or that seem to be arguable.","Let us resume our inquiry and state, given that all knowledge and every pursuit aims at some good, what it is that political science aims at and what is the highest good achievable through action. On the verbal level there is very broad agreement: both ordinary people and people of refinement say it is happiness, and they identify living well and doing well with being happy. But when it comes to what happiness actually is, they disagree, and ordinary people do not give the same answer as the wise. Ordinary people think happiness is something plain and obvious -- like pleasure, wealth, or honor -- and they disagree among themselves. Often even the same person identifies it with different things: with health when sick, with wealth when poor. Aware of their own ignorance, they admire those who proclaim some grand ideal beyond their comprehension. Some thinkers, moreover, believed that apart from these many particular goods there exists another good that is self-subsistent and is the cause of the goodness in all of them. To examine every opinion that has been held would be rather pointless; it is enough to examine those that are most widely held or that seem to have some rational basis.","Everyone agrees verbally that the highest good is happiness -- living well and doing well. But they disagree about what happiness actually is. Ordinary people identify it with pleasure, wealth, or honor, and even the same person shifts between these depending on circumstance. Some philosophers have posited a self-subsistent Good that causes goodness in all particular goods. Rather than examining every opinion, it suffices to consider those most widely held or most rationally defensible.","While everyone agrees that the highest good is happiness, people disagree profoundly about what happiness consists in. Ordinary people equate it with pleasure, wealth, or honor, while some philosophers posit an abstract Form of the Good. Aristotle proposes to examine only the most prevalent and reasonable views.","Everyone calls the highest good 'happiness,' but they disagree fundamentally about what happiness actually is.","This begins Aristotle's dialectical method (endoxa): surveying common and expert opinions before working toward the truth. -- The 'self-subsistent good' refers to Plato's Form of the Good (Republic VI, 508e-509b), which Aristotle critiques at length in 1.6 (1.9-1.12). -- The identification of happiness (eudaimonia) with 'living well and doing well' (eu zen kai eu prattein) reveals that eudaimonia is not a feeling but an activity. -- This passage sets up the survey of candidate lives (pleasure, politics, contemplation) in 1.5 (1.7-1.8)."
"1.6","1.4","6","Let us not fail to notice, however, that there is a difference between arguments from and those to the first principles. For Plato, too, was right in raising this question and asking, as he used to do, 'are we on the way from or to the first principles?' There is a difference, as there is in a race-course between the course from the judges to the turning-point and the way back. For, while we must begin with what is known, things are objects of knowledge in two senses- some to us, some without qualification. Presumably, then, we must begin with things known to us. Hence any one who is to listen intelligently to lectures about what is noble and just, and generally, about the subjects of political science must have been brought up in good habits. For the fact is the starting-point, and if this is sufficiently plain to him, he will not at the start need the reason as well; and the man who has been well brought up has or can easily get startingpoints. And as for him who neither has nor can get them, let him hear the words of Hesiod:

Far best is he who knows all things himself; Good, he that hearkens when men counsel right; But he who neither knows, nor lays to heart Another's wisdom, is a useless wight.","We should not, however, fail to notice the difference between arguments that proceed from first principles and arguments that proceed toward them. Plato, too, was right to raise this question, asking whether we are on the road from first principles or toward them. There is a difference, just as in a racecourse between the course from the starting line to the turning post and the way back. While we must begin with what is known, things can be known in two senses: known to us, and known in an unqualified sense. Presumably, then, we must begin with things known to us. This is why anyone who is going to be a competent student of what is noble and just -- and of political science generally -- must have been brought up with good habits. For the fact is our starting point, and if the fact is sufficiently clear, there will be no need to ask for the reason behind it as well. The person who has been well brought up either already possesses these starting points or can easily acquire them. As for the person who neither has them nor can acquire them, let him hear the words of Hesiod:

'Far best is he who knows all things himself;
Good too is he who hearkens to wise counsel;
But he who neither knows nor takes to heart
Another's wisdom is a useless man.'","We must distinguish between reasoning from first principles and reasoning toward them -- as Plato rightly noted. Since we must begin with what is known to us rather than what is known in the absolute sense, a student of ethics must already have been brought up in good habits. The fact is our starting point; if it is sufficiently clear, there is no initial need for the reason behind it. Those who lack good upbringing and cannot acquire these starting points should heed Hesiod: best is he who understands on his own; good is he who listens to wise counsel; useless is he who does neither.","Ethical inquiry must begin with what is already known to us through experience, not with abstract first principles. This is why good moral upbringing is essential: it provides the factual starting points from which ethical reasoning proceeds.","Good moral upbringing provides the experiential starting points without which ethical reasoning cannot even begin.","Plato's question about direction of inquiry appears in Republic VII (the 'Allegory of the Cave' and the 'Divided Line'). -- The distinction between 'known to us' (gnorimon hemin) and 'known without qualification' (gnorimon haplos) is fundamental to Aristotle's epistemology; see also Physics I.1 and Posterior Analytics I.2. -- The Hesiod quotation is from Works and Days, lines 293-297. Hesiod (c. 700 BCE) was one of the earliest Greek poets, a foundational figure alongside Homer. -- The emphasis on habituation (ethismos) as prior to rational understanding anticipates Book II's account of how virtue is acquired."
"1.7","1.5","7","Let us, however, resume our discussion from the point at which we digressed. To judge from the lives that men lead, most men, and men of the most vulgar type, seem (not without some ground) to identify the good, or happiness, with pleasure; which is the reason why they love the life of enjoyment. For there are, we may say, three prominent types of life- that just mentioned, the political, and thirdly the contemplative life. Now the mass of mankind are evidently quite slavish in their tastes, preferring a life suitable to beasts, but they get some ground for their view from the fact that many of those in high places share the tastes of Sardanapallus. A consideration of the prominent types of life shows that people of superior refinement and of active disposition identify happiness with honour; for this is, roughly speaking, the end of the political life. But it seems too superficial to be what we are looking for, since it is thought to depend on those who bestow honour rather than on him who receives it, but the good we divine to be something proper to a man and not easily taken from him. Further, men seem to pursue honour in order that they may be assured of their goodness; at least it is by men of practical wisdom that they seek to be honoured, and among those who know them, and on the ground of their virtue; clearly, then, according to them, at any rate, virtue is better. And perhaps one might even suppose this to be, rather than honour, the end of the political life. But even this appears somewhat incomplete; for possession of virtue seems actually compatible with being asleep, or with lifelong inactivity, and, further, with the greatest sufferings and misfortunes; but a man who was living so no one would call happy, unless he were maintaining a thesis at all costs. But enough of this; for the subject has been sufficiently treated even in the current discussions. Third comes the contemplative life, which we shall consider later.","Let us, however, resume our discussion from where we digressed. Judging from the lives people actually lead, most people -- including those of the most ordinary sort -- seem, not without some justification, to identify the good, or happiness, with pleasure. This is why they love the life of enjoyment. There are, broadly speaking, three prominent types of life: the life of enjoyment, the political life, and the contemplative life. The masses are plainly slavish in their tastes, preferring a life fit for cattle, but they gain some support for their view from the fact that many people in positions of power share the tastes of Sardanapallus.

A consideration of the prominent types of life shows that people of superior refinement and active temperament identify happiness with honor, for this is, roughly speaking, the goal of the political life. But honor seems too superficial to be what we are looking for, since it is thought to depend on those who bestow it rather than on the person who receives it, whereas the good, we sense, should be something that belongs to a person and is not easily taken away. Moreover, people seem to pursue honor in order to be reassured of their own goodness: they seek to be honored by people of practical wisdom, among those who know them, and on the basis of their virtue. Clearly, then, according to these people at least, virtue is superior to honor. And perhaps one might suppose that virtue, rather than honor, is the end of the political life. But even this seems somewhat incomplete, for it appears possible to possess virtue while being asleep, or while being inactive throughout one's entire life, and further, while suffering the greatest misfortunes. No one would call a person living this way happy, unless they were defending a thesis at any cost. But enough of this, for the subject has been sufficiently discussed.

Third comes the contemplative life, which we will consider later.","Most people identify happiness with pleasure and prefer the life of enjoyment -- a slavish preference shared even by the powerful. Those of superior refinement identify happiness with honor, the goal of the political life. But honor depends on others, not on oneself, and the good should be something one's own. People pursue honor as confirmation of their virtue, suggesting virtue is superior to honor. Yet even virtue seems incomplete: one can possess it while asleep, inactive, or suffering greatly, and no one would call such a person happy. The contemplative life remains to be considered.","Aristotle surveys three candidate lives: the life of pleasure (rejected as slavish), the political life aimed at honor (rejected because honor depends on others and points toward virtue), and the contemplative life (deferred). Even virtue alone is insufficient for happiness, since one can possess virtue while inactive or suffering.","Neither pleasure, honor, nor the mere possession of virtue can be happiness, since each fails to account for what we truly mean by living well.","Sardanapallus (Ashurbanipal) was a legendary Assyrian king proverbial among the Greeks for luxury and self-indulgence; the epitaph attributed to him was 'Eat, drink, and play, for everything else is not worth this.' -- The three lives (bios apolaustikos, bios politikos, bios theoretikos) form a framework that structures the entire Ethics, with the contemplative life treated in Book X.6-8. -- The observation that one can possess virtue while asleep introduces the crucial distinction between hexis (stable disposition/state) and energeia (activity), which becomes central to the function argument in 1.7 (1.17-1.18). -- The political life devoted to honor connects to the discussion of megalopsychia (greatness of soul) in Book IV.3."
"1.8","1.5","8","The life of money-making is one undertaken under compulsion, and wealth is evidently not the good we are seeking; for it is merely useful and for the sake of something else. And so one might rather take the aforenamed objects to be ends; for they are loved for themselves. But it is evident that not even these are ends; yet many arguments have been thrown away in support of them. Let us leave this subject, then.","The life of money-making is one pursued under compulsion, and wealth is clearly not the good we are seeking, for it is merely useful -- valuable only for the sake of something else. One might sooner regard the previously mentioned objects -- pleasure, honor, virtue -- as ends, since they are valued for their own sake. But it is evident that not even these are the ultimate end, despite the many arguments that have been advanced in their support. Let us set this subject aside, then.","Wealth is plainly not the highest good, since it is merely useful -- valued only for the sake of something else. The money-making life is pursued under compulsion, not freely chosen. Even pleasure, honor, and virtue, though valued for themselves, are not the ultimate end.","Wealth cannot be the highest good because it is always pursued as a means to something else, never as an end in itself. The money-making life is compulsory rather than freely chosen.","Wealth is always a means to something else and therefore cannot be the highest good.","The dismissal of wealth as merely instrumental (chresimon) reflects Aristotle's broader teleological framework: the good must be complete and self-sufficient, not a mere tool. -- This brief passage completes the survey of lives begun in 1.7. -- The theme of wealth as instrumental returns in Politics I.8-10, where Aristotle distinguishes natural household management from unnatural money-making (chrematistike). -- The 'compulsion' (anagke) of money-making contrasts with the freedom (eleutheria) that characterizes the best human life."
"1.9","1.6","9","We had perhaps better consider the universal good and discuss thoroughly what is meant by it, although such an inquiry is made an uphill one by the fact that the Forms have been introduced by friends of our own. Yet it would perhaps be thought to be better, indeed to be our duty, for the sake of maintaining the truth even to destroy what touches us closely, especially as we are philosophers or lovers of wisdom; for, while both are dear, piety requires us to honour truth above our friends.","It would perhaps be better to consider the universal good and discuss thoroughly what is meant by it, although this inquiry is made difficult by the fact that the theory of Forms was introduced by people dear to us. Yet it would seem to be our duty -- indeed it is required of us -- for the sake of maintaining the truth, to criticize even what touches us closely, especially since we are philosophers, that is, lovers of wisdom. For while both truth and friends are dear, reverence demands that we honor truth above our friends.","We should examine the universal good, even though the theory of Forms was introduced by our friends. Yet as philosophers -- lovers of wisdom -- we must honor truth above friendship.","Aristotle announces he must critique the Platonic theory of a universal Form of the Good, even though Plato was his teacher. He asserts that truth must take precedence over personal loyalty.","Truth must be honored above friendship, even when criticizing the ideas of those we love.","The 'friends' are Plato and the Platonists; Aristotle studied at Plato's Academy for nearly twenty years (c. 367-347 BCE). -- The famous principle 'amicus Plato, sed magis amica veritas' (Plato is dear, but truth is dearer) derives from this passage, though the Latin formulation is medieval. -- This passage begins Aristotle's extended critique of Plato's Form of the Good (1.9-1.12), which is one of his most sustained engagements with Platonic metaphysics in the Ethics. -- The critique of the Forms also appears in Metaphysics I.9, VII.13-16, and XIII-XIV."
