"Index","Chapter","Thought","D: Original","D: Refashioned","D: Elegant","D: Distilled","Notes"
"","","","<a href=""https://www.gutenberg.org/ebooks/2388"">The Bhagavad Gita — ""The Song Celestial"" (Sir Edwin Arnold translation, 1885)</a>","<a href=""https://www.gutenberg.org/ebooks/2388"">The Bhagavad Gita</a> — Refashioned by Zzy","","",""
"","1","","<b>Chapter 1: Arjuna's Despair (Arjuna Vishada Yoga)</b>","","","",""
"1.1","1","1","[Dhritirashtra]
Ranged thus for battle on the sacred plain--
On Kurukshetra--say, Sanjaya! say
What wrought my people, and the Pandavas?","[Dhritirashtra]
Tell me, Sanjaya — on the sacred field of Kurukshetra, what did my sons and the sons of Pandu do?","The blind king asks: what happened on the battlefield between my sons and theirs?","A father who cannot see asks what his children have done.","Dhritirashtra is the blind king of the Kuru dynasty. He cannot witness the battle himself and relies on Sanjaya, who has been granted divine sight by the sage Vyasa. The Gita opens with a question from a ruler who is literally blind — a framing device that resonates with the framework's emphasis on the gap between holding power and perceiving reality."
"1.2","1","2","[Sanjaya]
When he beheld the host of Pandavas,
Raja Duryodhana to Drona drew,
And spake these words: ""Ah, Guru! see this line,
How vast it is of Pandu fighting-men,
Embattled by the son of Drupada,
Thy scholar in the war! Therein stand ranked
Chiefs like Arjuna, like to Bhima chiefs,
Benders of bows; Virata, Yuyudhan,
Drupada, eminent upon his car,
Dhrishtaket, Chekitan, Kasi's stout lord,
Purujit, Kuntibhoj, and Saivya,
With Yudhamanyu, and Uttamauj
Subhadra's child; and Drupadi's;-all famed!
All mounted on their shining chariots!
On our side, too,--thou best of Brahmans! see
Excellent chiefs, commanders of my line,
Whose names I joy to count: thyself the first,
Then Bhishma, Karna, Kripa fierce in fight,
Vikarna, Aswatthaman; next to these
Strong Saumadatti, with full many more
Valiant and tried, ready this day to die
For me their king, each with his weapon grasped,
Each skilful in the field. Weakest-meseems-
Our battle shows where Bhishma holds command,
And Bhima, fronting him, something too strong!
Have care our captains nigh to Bhishma's ranks
Prepare what help they may! Now, blow my shell!""","[Sanjaya]
When Prince Duryodhana saw the Pandava army drawn up for battle, he went to his teacher Drona and said: 'Look at this enormous force, assembled by your own former student, Drupada's son. They have warriors as great as Arjuna and Bhima — master archers, powerful fighters, all mounted on brilliant chariots. And on our side too we have great commanders: yourself, Bhishma, Karna, Kripa, and many others, all willing to die for me, all skilled in war. Yet our strength under Bhishma seems somehow less than theirs under Bhima. Let our captains close ranks around Bhishma. Now — blow the conch!'","Duryodhana surveys the enemy, lists his own champions, and sounds the war horn — a prince cataloguing his power to reassure himself it is enough.","A prince counts his advantages and sounds the horn, trying to convince himself his side will prevail.","Duryodhana is Dhritirashtra's eldest son, the antagonist of the Mahabharata. Drona (Dronacharya) is the great weapons-master who trained both the Pandavas and Kauravas. This passage catalogs warriors on both sides — a literary convention in Indian epic poetry (similar to Homer's Catalogue of Ships in the Iliad). The detail matters: many of these warriors are teachers, relatives, and mentors of the fighters on both sides, establishing the moral crisis Arjuna will face."
"1.3","1","3","[Sanjaya]
Then, at the signal of the aged king,
With blare to wake the blood, rolling around
Like to a lion's roar, the trumpeter
Blew the great Conch; and, at the noise of it,
Trumpets and drums, cymbals and gongs and horns
Burst into sudden clamour; as the blasts
Of loosened tempest, such the tumult seemed!
Then might be seen, upon their car of gold
Yoked with white steeds, blowing their battle-shells,
Krishna the God, Arjuna at his side:
Krishna, with knotted locks, blew his great conch
Carved of the ""Giant's bone;"" Arjuna blew
Indra's loud gift; Bhima the terrible--
Wolf-bellied Bhima-blew a long reed-conch;
And Yudhisthira, Kunti's blameless son,
Winded a mighty shell, ""Victory's Voice;""
And Nakula blew shrill upon his conch
Named the ""Sweet-sounding,"" Sahadev on his
Called""Gem-bedecked,"" and Kasi's Prince on his.
Sikhandi on his car, Dhrishtadyumn,
Virata, Satyaki the Unsubdued,
Drupada, with his sons, (O Lord of Earth!)
Long-armed Subhadra's children, all blew loud,
So that the clangour shook their foemen's hearts,
With quaking earth and thundering heav'n.","[Sanjaya]
At the old king's signal, a great conch horn blew — a sound like a lion's roar — and suddenly the whole field erupted with trumpets, drums, cymbals, and horns, a tumult like a storm breaking loose.

Then Krishna and Arjuna, riding their golden chariot drawn by white horses, blew their own war conches. Krishna blew Panchajanya, carved from a giant's bone. Arjuna blew Devadatta, Indra's gift. Bhima blew his great reed-conch Paundra. Each of the Pandava brothers and their allies sounded their own horns, and the noise shook the earth and sky and the hearts of their enemies.","The conches answer each other across the field — first the Kauravas, then Krishna and Arjuna, then every Pandava champion in turn — until the sound shakes earth and sky and the hearts of those who must face it.","Both armies announce themselves with sound, and the earth shakes with what is about to happen.","Panchajanya: Krishna's conch, taken from the demon Panchajana. Devadatta: Arjuna's conch, a gift from the god Indra. Paundra: Bhima's great conch. The blowing of conches is both ritual and tactical — it announces battle, signals formations, and psychologically prepares the armies. The escalation from one horn to a full orchestra mirrors the escalation toward a war that cannot be undone."
"1.4","1","4","[Sanjaya]
Then 'twas-
Beholding Dhritirashtra's battle set,
Weapons unsheathing, bows drawn forth, the war
Instant to break-Arjun, whose ensign-badge
Was Hanuman the monkey, spake this thing
To Krishna the Divine, his charioteer:
""Drive, Dauntless One! to yonder open ground
Betwixt the armies; I would see more nigh
These who will fight with us, those we must slay
To-day, in war's arbitrament; for, sure,
On bloodshed all are bent who throng this plain,
Obeying Dhritirashtra's sinful son.""","[Sanjaya]
Seeing Dhritirashtra's forces arrayed for battle, weapons drawn, war about to break — Arjuna, whose banner bore the monkey-god Hanuman, spoke to Krishna, his divine charioteer:

'Drive between the two armies. I want to see more clearly who we are about to fight — who has come here to die, obeying Dhritirashtra's corrupt son.'","Arjuna asks Krishna to drive between the armies. He wants to look into the faces of the men he is about to kill.","Before fighting, Arjuna asks to see his enemies up close — and discovers they are his family.","Hanuman on Arjuna's banner: the monkey-god from the Ramayana, symbolizing devotion and strength. Krishna as charioteer: God has taken the role of servant, driving the warrior's vehicle. This is a central image — the divine does not fight for you but positions you to fight correctly. The request to 'see more clearly' is the beginning of Arjuna's crisis: he has been thinking of this as a war against enemies and is about to realize it is a war against family."
"1.5","1","5","[Sanjaya]
Thus, by Arjuna prayed, (O Bharata!)
Between the hosts that heavenly Charioteer
Drove the bright car, reining its milk-white steeds
Where Bhishma led,and Drona,and their Lords.
""See!"" spake he to Arjuna, ""where they stand,
Thy kindred of the Kurus:"" and the Prince
Marked on each hand the kinsmen of his house,
Grandsires and sires, uncles and brothers and sons,
Cousins and sons-in-law and nephews, mixed
With friends and honoured elders; some this side,
Some that side ranged: and, seeing those opposed,
Such kith grown enemies-Arjuna's heart
Melted with pity, while he uttered this:","[Sanjaya]
Krishna drove the bright chariot between the armies, stopping where Bhishma and Drona stood with their forces. 'Look,' Krishna said. 'There are your Kuru kinsmen.'

Arjuna looked — and saw grandfathers, fathers, uncles, brothers, sons, cousins, nephews, friends, and honored elders arrayed on both sides. His own family, drawn up as enemies.","Krishna parks the chariot between the armies and says simply: 'Look. Your family.' Arjuna looks — and sees grandfathers, sons, teachers, and friends on both sides of the killing field.","Krishna shows Arjuna that the enemy army is his own family.","Bhishma is Arjuna's great-uncle and patriarch of the dynasty. Drona is Arjuna's beloved weapons-teacher. The moment of recognition — seeing your family arrayed as the enemy — is the catalyst for the entire Gita. Without this crisis, there is no need for Krishna's teaching. The philosophical depth of the text grows from an intensely personal and emotional seed."
"1.6","1","6","[Arjuna]
Krishna! as I behold, come here to shed
Their common blood, yon concourse of our kin,
My members fail, my tongue dries in my mouth,
A shudder thrills my body, and my hair
Bristles with horror; from my weak hand slips
Gandiv, the goodly bow; a fever burns
My skin to parching; hardly may I stand;
The life within me seems to swim and faint;
Nothing do I foresee save woe and wail!
It is not good, O Keshav! nought of good
Can spring from mutual slaughter! Lo, I hate
Triumph and domination, wealth and ease,
Thus sadly won! Aho! what victory
Can bring delight, Govinda! what rich spoils
Could profit; what rule recompense; what span
Of life itself seem sweet, bought with such blood?
Seeing that these stand here, ready to die,
For whose sake life was fair, and pleasure pleased,
And power grew precious:-grandsires, sires, and sons,
Brothers, and fathers-in-law, and sons-in-law,
Elders and friends! Shall I deal death on these
Even though they seek to slay us? Not one blow,
O Madhusudan! will I strike to gain","[Arjuna]
Krishna — seeing my own people gathered here to shed each other's blood, my body fails me. My mouth dries. I tremble. My skin burns. The bow Gandiva slips from my hand. I can barely stand.

I see nothing ahead but grief. What good can come from slaughtering our own family? I don't want victory. I don't want kingdoms or pleasure or even life itself, bought at such a price.

The people for whose sake power and pleasure were worth having — grandfathers, fathers, sons, brothers, fathers-in-law — they are standing here, ready to die. Should I kill them? Even if they would kill us? I would not strike a single blow to rule all three worlds — let alone this patch of earth.","Arjuna's body revolts before his mind can rationalize. His hands shake, his bow drops, his mouth goes dry. 'I see nothing ahead but grief. The people for whose sake life was worth living are standing here ready to die. I would not kill them for dominion over three worlds — let alone this one.'","Arjuna's body knows what his mind has not yet articulated: killing his family will not be a victory but a destruction of everything victory was meant to serve.","Gandiva: Arjuna's divine bow, a gift from the fire-god Agni. The physical symptoms — trembling, dry mouth, burning skin, inability to stand — are a realistic depiction of what we now call a panic attack or acute stress response. Arnold's verse captures something often lost in philosophical commentary: the Gita begins not with an intellectual problem but with a visceral, embodied crisis. The body refuses before the mind has finished its reasoning. This connects to the framework: wisdom is not just logos (reasoning) — it involves the whole person."
"1.7","1","7","[Arjuna]
The rule of all Three Worlds; then, how much less
To seize an earthly kingdom! Killing these
Must breed but anguish, Krishna! If they be
Guilty, we shall grow guilty by their deaths;
Their sins will light on us, if we shall slay
Those sons of Dhritirashtra, and our kin;
What peace could come of that, O Madhava?
For if indeed, blinded by lust and wrath,
These cannot see, or will not see, the sin
Of kingly lines o'erthrown and kinsmen slain,
How should not we, who see, shun such a crime--
We who perceive the guilt and feel the shame--
O thou Delight of Men, Janardana?
By overthrow of houses perisheth
Their sweet continuous household piety,
And-rites neglected, piety extinct--
Enters impiety upon that home;
Its women grow unwomaned, whence there spring
Mad passions, and the mingling-up of castes,
Sending a Hell-ward road that family,
And whoso wrought its doom by wicked wrath.
Nay, and the souls of honoured ancestors
Fall from their place of peace, being bereft
Of funeral-cakes and the wan death-water.
So teach our holy hymns. Thus, if we slay
Kinsfolk and friends for love of earthly power,
Ahovat! what an evil fault it were!
Better I deem it, if my kinsmen strike,
To face them weaponless, and bare my breast
To shaft and spear, than answer blow with blow.","[Arjuna]
Even if they are blinded by greed and cannot see the sin of destroying their own family line — we can see it. We who perceive the guilt and feel the shame, how could we not turn away from such a crime?

When families are destroyed, the ancient customs that hold them together die with them. Without those customs, lawlessness enters. With lawlessness comes corruption. The women of the family are dishonored, the bloodlines mix, and the whole lineage descends toward ruin. Even the souls of the ancestors suffer, deprived of their funeral rites.

Better, I think, to face my own kinsmen weaponless and bare my chest to their arrows than to answer blow with blow.","We see the guilt even if they do not. Destroying a family destroys its customs, its piety, its continuity — and the corruption passes down through generations like a curse. Better to die unarmed than to purchase a kingdom with the blood of your own people.","The cost of victory is the destruction of everything that made victory worth seeking.","Arjuna's argument is essentially conservative in the framework's sense: he is arguing that the cost of change (war, destruction of family structure, loss of tradition) outweighs any possible gain. His reasoning about social decay — that destroying family customs leads to lawlessness, which leads to moral corruption — is a sophisticated argument about institutional erosion. The 'funeral-cakes and death-water' (pinda and udaka) refer to Hindu ancestral rites (shraddha) essential for the spiritual welfare of the dead. Arjuna's crisis is not cowardice but a genuine ethical impasse — the exact situation where wisdom (not just courage or duty) is needed."
"1.8","1","8","[Arjuna]
So speaking, in the face of those two hosts,
Arjuna sank upon his chariot-seat,
And let fall bow and arrows, sick at heart.","[Sanjaya]
Having spoken, Arjuna sank down in his chariot and let his bow and arrows fall. He was overwhelmed with grief.","Arjuna stops speaking, drops his weapons, and collapses in his chariot — undone not by the enemy but by the weight of what he understands.","The warrior who sees too clearly to fight has not yet learned to see clearly enough to act.","This single image — the greatest warrior of his age sitting down in the middle of the battlefield, refusing to fight — is the dramatic setup for the entire Gita. Everything Krishna says for the next 17 chapters is an answer to this moment. The bow (Gandiva) on the ground is the symbol: competence without orientation is paralysis."
