"Index","Chapter","Thought","D: Original","D: Refashioned","D: Elegant","D: Distilled","Notes"
"","","","<a href=""https://www.gutenberg.org/ebooks/3330"">The Analects of Confucius (James Legge translation)</a>","<a href=""https://www.gutenberg.org/ebooks/3330"">The Analects of Confucius</a> — Refashioned by Zzy","","",""
"","1","","<b>Book 1: Hsio R (Learning)</b>","","","",""
"1.1","1","1","The Master said, 'Is it not pleasant to learn with a constant perseverance and application?
'Is it not delightful to have friends coming from distant quarters?'
'Is he not a man of complete virtue, who feels no discomposure though men may take no note of him?'","The Master said, ""Isn't there deep satisfaction in learning and consistently applying what you learn?
""Isn't it a delight when friends arrive from far away?
""And isn't it the mark of a truly developed person to remain untroubled when others fail to recognize your worth?""","To learn and practice — joy. To welcome distant friends — delight. To go unrecognized without resentment — virtue.","The fulfilled life is built on learning, friendship, and equanimity in obscurity.","Opening passage establishes three pillars: learning (Xue), fellowship, and inner composure. The 'man of complete virtue' is the Junzi — the cultivated person who is the goal of Confucian education. Connects to FUALL's Paideia concept: education as character formation, not credential acquisition. The third line parallels Socratic indifference to reputation."
"1.2","1","2","The philosopher Yu said, 'They are few who, being filial and fraternal, are fond of offending against their superiors. There have been none, who, not liking to offend against their superiors, have been fond of stirring up confusion.
'The superior man bends his attention to what is radical. That being established, all practical courses naturally grow up. Filial piety and fraternal submission!-- are they not the root of all benevolent actions?'","The philosopher You Ruo said, ""It is rare for someone who honors their parents and respects their elders to defy those in authority. And no one who respects authority has ever been inclined to sow disorder.
""The cultivated person focuses on fundamentals. Get the root right, and everything else grows from it. Honoring your parents and respecting your elders — isn't that the very root of benevolence?""","Those who honor their parents rarely defy rightful authority. Those who respect authority never foment chaos. Virtue begins at home — filial devotion is the root from which all goodness grows.","Respect for family is the foundation of social order and the root of all benevolence.","You Ruo (Youzi), one of Confucius's senior disciples. Introduces Xiao (filial piety) as the root of Ren (benevolence). The argument: moral order radiates outward from the family unit. Connects to FUALL's erosion pattern — when foundational social bonds decay, institutional order follows. The family as the first 'educational institution' in the Confucian system."
"1.3","1","3","The Master said, 'Fine words and an insinuating appearance are seldom associated with true virtue.'","The Master said, ""Smooth talk and a flattering manner are rarely signs of genuine virtue.""","Eloquence and charm are poor proxies for character.","Polished words and ingratiating behavior usually mask a deficit of real virtue.","Ren (benevolence/virtue) contrasted with superficial social performance. Recurs at 5.24. Parallels Socrates' suspicion of the Sophists — those who taught persuasion over truth. Connects to FUALL's distinction between substance and presentation in the Ideational domain."
"1.4","1","4","The philosopher Tsang said, 'I daily examine myself on three points:-- whether, in transacting business for others, I may have been not faithful;-- whether, in intercourse with friends, I may have been not sincere;-- whether I may have not mastered and practised the instructions of my teacher.'","The philosopher Zengzi said, ""Each day I examine myself on three points: Have I been faithful in my dealings on behalf of others? Have I been sincere with my friends? Have I practiced what my teacher taught me?""","Three daily questions: Was I faithful in my duties? Sincere with my friends? Did I practice what I was taught?","Daily self-examination on faithfulness, sincerity, and applied learning is the discipline of moral growth.","Zengzi (Tsang Shen, 505-435 BCE) — one of Confucius's most important disciples, traditionally credited with authoring the Great Learning (Da Xue). The three examinations concern Xin (faithfulness), sincerity in friendship, and the practice of received teaching — the transmission chain from teacher to student. Connects to FUALL's Academy model."
"1.5","1","5","The Master said, To rule a country of a thousand chariots, there must be reverent attention to business, and sincerity; economy in expenditure, and love for men; and the employment of the people at the proper seasons.'","The Master said, ""To govern a state of any real size requires: reverent attention to duty, trustworthiness, fiscal restraint, genuine care for the people, and calling on them to serve only at the right times.""","Govern with seriousness, honesty, economy, compassion, and respect for people's time.","Good governance requires attentive duty, trustworthiness, fiscal discipline, care for people, and respect for their time.","Five principles of governance. 'A thousand chariots' = a mid-sized feudal state. Xin (trustworthiness) appears explicitly. 'Employment of the people at the proper seasons' — not conscripting farmers during planting or harvest. Connects to FUALL's power domains: governance as stewardship, not extraction."
"1.6","1","6","The Master said, 'A youth, when at home, should be filial, and, abroad, respectful to his elders. He should be earnest and truthful. He should overflow in love to all, and cultivate the friendship of the good. When he has time and opportunity, after the performance of these things, he should employ them in polite studies.'","The Master said, ""A young person should be devoted to their parents at home and respectful to elders outside it. They should be earnest and truthful, love widely, and seek the friendship of good people. Only after fulfilling these duties should they turn to study and the arts.""","First, honor your parents. Then, respect your elders. Be earnest, truthful, and generous. Seek good company. Only then — study.","Character formation precedes intellectual cultivation — virtue first, then learning.","Xiao (filial piety) and Ti (fraternal respect) as prerequisites for formal education. The sequence matters: moral formation before intellectual training. 'Polite studies' = the six arts (Liu Yi): ritual, music, archery, charioteering, calligraphy, mathematics. Connects to FUALL's Paideia: education as whole-person formation, not skills acquisition."
"1.7","1","7","Tsze-hsia said, 'If a man withdraws his mind from the love of beauty, and applies it as sincerely to the love of the virtuous; if, in serving his parents, he can exert his utmost strength; if, in serving his prince, he can devote his life; if, in his intercourse with his friends, his words are sincere:-- although men say that he has not learned, I will certainly say that he has.'","Zixia said, ""If someone redirects the energy they spend on appearances toward cultivating virtue; if in serving their parents they give everything they have; if in serving their country they would give their life; if in their dealings with friends they keep their word — then even if others say this person has no formal education, I would call them truly learned.""","Trade vanity for virtue, serve your parents with your whole strength, your country with your life, your friends with your word — and you are educated, whatever the world may say.","True learning is demonstrated through devoted action, not credentials.","Zixia (Bu Shang) — one of the younger disciples, known for literary scholarship. His argument inverts the common assumption: learning is proven by conduct, not by formal study. This is a radical claim about what 'education' means. Connects to FUALL's critique of credentialism and the distinction between knowledge and wisdom."
"1.8","1","8","The Master said, 'If the scholar be not grave, he will not call forth any veneration, and his learning will not be solid.
'Hold faithfulness and sincerity as first principles.
'Have no friends not equal to yourself.
'When you have faults, do not fear to abandon them.'","The Master said, ""If a scholar lacks gravitas, they will command no respect, and their learning will be shallow.
""Make faithfulness and sincerity your first principles.
""Do not befriend those who pull you downward.
""When you recognize a fault in yourself, do not hesitate to correct it.""","Without seriousness, no respect; without respect, no deep learning. Hold to faithfulness. Keep worthy company. When you find fault in yourself — fix it immediately.","Serious character earns respect, which deepens learning; faithfulness, good company, and self-correction complete the foundation.","Xin (faithfulness) as a 'first principle.' The admonition about friends recurs at 9.24 — nearly verbatim. 'Have no friends not equal to yourself' is frequently debated: likely means 'do not keep company that degrades your character,' not an instruction in social snobbery. Connects to FUALL's concept of the Agora — the quality of discourse depends on the quality of participants."
"1.9","1","9","The philosopher Tsang said, 'Let there be a careful attention to perform the funeral rites to parents, and let them be followed when long gone with the ceremonies of sacrifice;-- then the virtue of the people will resume its proper excellence.'","The philosopher Zengzi said, ""When care is taken to honor the dead properly — through funeral rites and ongoing ancestral remembrance — the moral character of the people will naturally deepen.""","Honor the dead with care, remember them with devotion, and the living will grow in virtue.","A society that reverently honors its dead cultivates moral depth in its living.","Zengzi on Li (ritual propriety) in its most solemn form: funerary and ancestral rites. The claim is that ritual attention to death shapes moral consciousness. The 'ceremonies of sacrifice' = ancestral worship, central to Chinese social religion. Connects to FUALL's Temple institution — ritual as moral infrastructure."
"1.10","1","10","Tsze-ch'in asked Tsze-kung, saying, 'When our master comes to any country, he does not fail to learn all about its government. Does he ask his information? or is it given to him?'
Tsze-kung said, 'Our master is benign, upright, courteous, temperate, and complaisant, and thus he gets his information. The master's mode of asking information!-- is it not different from that of other men?'","Ziqin asked Zigong, ""When our Master arrives in any country, he invariably learns everything about its government. Does he ask for this information, or do people simply offer it to him?""
Zigong said, ""Our Master is kind, upright, courteous, temperate, and deferential — and that is how he learns. His way of seeking information is quite unlike that of other men.""","How does the Master learn every state's affairs? Not by interrogation but by being the kind of person people want to confide in — kind, upright, courteous, temperate, deferential.","The deepest intelligence-gathering is not asking but being the person others trust enough to tell.","Zigong (Tsze-kung, Duanmu Ci) — Confucius's most commercially successful and diplomatically skilled disciple. Ziqin (Ch'in) — possibly a disciple of Zigong's. The five qualities listed (wen, liang, gong, jian, rang) form a model of Ren in social practice. Connects to FUALL's Ideational domain: influence through character rather than force."
"1.11","1","11","The Master said, 'While a man's father is alive, look at the bent of his will; when his father is dead, look at his conduct. If for three years he does not alter from the way of his father, he may be called filial.'","The Master said, ""While a man's father is alive, observe his intentions. After his father has died, observe his conduct. If for three years he does not depart from his father's way, he may be called truly filial.""","Before the father dies, watch the son's aspirations. After, watch his actions. Three years of consistency proves devotion.","Filial piety is proven not by grief but by sustained adherence to what was good in a father's example.","Xiao (filial piety) tested by time, not sentiment. The 'three-year' period corresponds to the traditional mourning period. This passage recurs nearly verbatim at 4.20. The principle: character is revealed by what you do when no one is compelling you. Connects to FUALL's transmission concept — maintaining the received Dao across generations."
