"Index","Chapter","Thought","D: Original","D: Refashioned","D: Elegant","D: Distilled","Notes"
"","","","<a href=""https://classics.mit.edu/Epictetus/discourses.html"">The Discourses - Epictetus (George Long translation)</a>","<a href=""https://classics.mit.edu/Epictetus/discourses.html"">The Discourses - Epictetus</a> - Refashioned by Zzy","","",""
"","1.1","","<b>Chapter 1: Of the things which are in our Power, and not in our Power</b>","","","",""
"1.1","1.1","1","Of all the faculties, you will find not one which is capable of contemplating itself; and, consequently, not capable either of approving or disapproving. How far does the grammatic art possess the contemplating power? As far as forming a judgement about what is written and spoken. And how far music? As far as judging about melody. Does either of them then contemplate itself? By no means. But when you must write something to your friend, grammar will tell you what words you must write; but whether you should write or not, grammar will not tell you. And so it is with music as to musical sounds; but whether you should sing at the present time and play on the lute, or do neither, music will not tell you. What faculty then will tell you? That which contemplates both itself and all other things. And what is this faculty? The rational faculty; for this is the only faculty that we have received which examines itself, what it is, and what power it has, and what is the value of this gift, and examines all other faculties: for what else is there which tells us that golden things are beautiful, for they do not say so themselves? Evidently it is the faculty which is capable of judging of appearances. What else judges of music, grammar, and other faculties, proves their uses and points out the occasions for using them? Nothing else.","Every skill has a limited scope. Grammar tells you which words to use, but not whether to write the letter. Music tells you which notes are right, but not whether to sing. Each discipline can judge within its domain but cannot evaluate itself.

Only one faculty can do that: reason. Reason is the only capacity we have that can examine itself — assess its own worth, judge its own performance, and evaluate everything else. It is the faculty that tells us when to use grammar and when to use music, when to act and when to refrain. The gods — or nature, or whatever you prefer — gave us this one supreme gift and made it the only thing fully under our control.","Grammar tells you which words to use but not whether to write. Music tells you which notes are right but not whether to sing. Only reason can examine itself — and everything else. It is the one faculty the gods placed entirely in our hands.","Every skill judges within its domain; only reason can judge itself and decide when any skill should be used.","Epictetus opens with a foundational Stoic distinction: the rational faculty (to logikon, hegemonikon) is unique because it is self-reflexive. This parallels the framework's emphasis on Reason as meta-capacity — the tool that evaluates all other tools, including itself. Compare with the philosophy of science discussion in the Foundations article: 'the methods themselves must be examined, stress-tested, and updated.'"
"1.2","1.1","2","As then it was fit to be so, that which is best of all and supreme over all is the only thing which the gods have placed in our power, the right use of appearances; but all other things they have not placed in our power. Was it because they did not choose? I indeed think that, if they had been able, they would have put these other things also in our power, but they certainly could not. For as we exist on the earth, and are bound to such a body and to such companions, how was it possible for us not to be hindered as to these things by externals?","The gods placed only one thing fully in our power: the right use of our rational faculty — how we interpret and respond to what happens to us. Everything else — our bodies, our possessions, our reputations — they left exposed to circumstance. Not because they didn't care, but because they couldn't do otherwise. We are bound to a physical body, to a specific place and time, to other people. Given those constraints, external things could not be made immune to interference.","The gods gave us exactly one thing we fully control: how we use our minds. Everything else — body, property, reputation — is subject to forces beyond us. Not from indifference, but from necessity: we are physical beings in a physical world.","We control only one thing completely: how we use our rational faculty. Everything else is subject to forces beyond us.","The Stoic distinction between ta eph' hemin (things in our power) and ta ouk eph' hemin (things not in our power) is Epictetus's central teaching. Marcus Aurelius echoes this throughout the Meditations. This maps to the framework's emphasis on what we can actually control — our reasoning, our response, our orientation — versus what we cannot."
"1.3","1.1","3","But what says Zeus? ""Epictetus, if it were possible, I would have made both your little body and your little property free and not exposed to hindrance. But now be not ignorant of this: this body is not yours, but it is clay finely tempered. And since I was not able to do for you what I have mentioned, I have given you a small portion of us, this faculty of pursuing an object and avoiding it, and the faculty of desire and aversion, and, in a word, the faculty of using the appearances of things; and if you will take care of this faculty and consider it your only possession, you will never be hindered, never meet with impediments; you will not lament, you will not blame, you will not flatter any person.""","Imagine Zeus speaking directly: 'If I could have made your body and property free from interference, I would have. But I couldn't — you are made of clay, and clay is vulnerable. So instead I gave you a portion of what I am: the faculty of choice, the capacity to pursue and avoid, to desire and refuse, to interpret what happens to you. If you treat this faculty as your only real possession, nothing external will ever truly hinder you. But if you insist on worrying about things I couldn't protect — your body, your property — you will be a slave to circumstances, tormented by forces you cannot control, and resentful of the very gods who gave you what matters most.'","Zeus speaks: I could not make your body invulnerable or your property secure — you are clay. So I gave you something better: the capacity to choose how you respond to everything. Guard that, and nothing can touch you. Neglect it for the sake of things I could not protect, and you will suffer needlessly and blame the gods for your own misplaced priorities.","You cannot control what happens to you, but you have absolute authority over how you respond — and that authority is the only thing worth protecting.","The Zeus monologue is one of Epictetus's most famous passages. The 'portion of us' (meros ti hemeteron) given to humans — the rational faculty — echoes the Stoic concept of the divine spark (logos spermatikos). Compare with the framework's Wisdom section: wisdom is the capacity to navigate complexity, not the ability to control outcomes."
"1.4","1.1","4","""Well, do these seem to you small matters?"" I hope not. ""Be content with them then and pray to the gods."" But now when it is in our power to look after one thing, and to attach ourselves to it, we prefer to look after many things, and to be bound to many things, to the body and to property, and to brother and to friend, and to child and to slave. Since, then, we are bound to many things, we are depressed by them and dragged down. For this reason, when the weather is not fit for sailing, we sit down and torment ourselves, and continually look out to see what wind is blowing. ""It is north."" What is that to us? ""When will the west wind blow?"" When it shall choose, my good man, or when it shall please AEolus; for God has not made you the manager of the winds, but AEolus. What then? We must make the best use that we can of the things which are in our power, and use the rest according to their nature. What is their nature then? As God may please.","These may seem like small consolations — you control only your mind, not the weather, not the sea, not your health. But they are not small. The problem is that we refuse to focus on what we actually control and instead attach ourselves to everything we don't: our bodies, our possessions, our relationships, our status. We spread ourselves across a dozen anchors, and then wonder why we feel dragged down.

This is why we sit on the dock tormenting ourselves about the wind. Not because the wind matters so much, but because we've staked our peace on something we never had the power to control.","We are weighed down not because we control too little but because we cling to what we cannot control. We tie ourselves to body, property, reputation, and relationships — then wonder why we feel bound. The wind doesn't torment us. Our attachment to the voyage does.","We suffer not because we control too little but because we cling to things outside our control.","The wind metaphor — sitting on the dock worrying about which way it blows — is Epictetus's illustration of misplaced concern. Stoic prosoche (attention) is the discipline of directing focus toward what is 'up to us.' This connects to the framework's concept of Right: aiming correctly requires first knowing what you can actually steer."
"1.5","1.1","5","""Must I, then, alone have my head cut off?"" What, would you have all men lose their heads that you may be consoled? Will you not stretch out your neck as Lateranus did at Rome when Nero ordered him to be beheaded? For when he had stretched out his neck, and received a feeble blow, which made him draw it in for a moment, he stretched it out again. And a little before, when he was visited by Epaphroditus, Nero's freedman, who asked him about the cause of offense which he had given, he said, ""If I choose to tell anything, I will tell your master.""","When facing execution, what good does it do to wish everyone else were also losing their heads? Lateranus, ordered beheaded by Nero, stretched out his neck. When the executioner's first blow was weak and Lateranus flinched, he simply stretched it out again. Earlier, when one of Nero's men asked what offense he had committed, he said: 'If I choose to tell anything, I will tell your master.'

This is not bravado. It is the practical application of the principle: even at the point of death, what you say, how you respond, whether you flinch or hold steady — those remain yours.","Lateranus stretched his neck for Nero's executioner. When the first blow was botched, he stretched it out again. Asked beforehand what he had done wrong, he replied: 'If I choose to tell anything, I will tell your master.' Even at the point of death, the response was his.","Even facing execution, how you respond remains entirely your own.","Plautius Lateranus, Roman consul designate, was executed by Nero in 65 CE for his role in the Pisonian conspiracy. Epaphroditus was Nero's freedman and secretary — later he would help Nero commit suicide. Epictetus uses historical examples not as abstract lessons but as proof that the principle works under maximum duress."
"1.6","1.1","6","What then should a man have in readiness in such circumstances? What else than ""What is mine, and what is not mine; and permitted to me, and what is not permitted to me."" I must die. Must I then die lamenting? I must be put in chains. Must I then also lament? I must go into exile. Does any man then hinder me from going with smiles and cheerfulness and contentment? ""Tell me the secret which you possess."" I will not, for this is in my power. ""But I will put you in chains."" Man, what are you talking about? Me in chains? You may fetter my leg, but my will not even Zeus himself can overpower. ""I will throw you into prison."" My poor body, you mean. ""I will cut your head off."" When, then, have I told you that my head alone cannot be cut off? These are the things which philosophers should meditate on, which they should write daily, in which they should exercise themselves.","What should you have ready for the worst moments? Just this: a clear understanding of what is yours and what is not, what you can control and what you cannot.

I must die. Must I die whimpering? I must be chained. Must I also grieve? I must go into exile. Can anyone stop me from going cheerfully?

'Tell me your secret.' I won't — that is in my power. 'Then I will chain you.' You will chain my leg. My will, not even Zeus can overpower. 'I will cut off your head.' When did I claim my head couldn't be cut off? These are the things a person should study. This is what it means to have examined the nature of what we control.","I must die — but not lamenting. I must be chained — but not grieving. You can fetter my leg, but my will not even Zeus can overpower. You can take my head, but I never claimed it was mine to keep. Know what is yours and what is not, and nothing they do to you will reach the part that matters.","You can chain my leg but not my will; you can take my head but not my judgment — know what is truly yours.","This passage condenses the entire Stoic ethics into a rapid-fire catechism. 'My will not even Zeus himself can overpower' (ten prohairesin ten emen oude ho Zeus dunatai nikesai) is one of Epictetus's most quoted lines. The distinction between what can be taken (body, property, life) and what cannot (judgment, will, response) is the practical foundation of Stoic freedom — freedom defined not as absence of constraint but as sovereignty over the inner life."
"1.7","1.1","7","Thrasea used to say, ""I would rather be killed to-day than banished to-morrow."" What, then, did Rufus say to him? ""If you choose death as the heavier misfortune, how great is the folly of your choice? But if, as the lighter, who has given you the choice? Will you not study to be content with that which has been given to you?""","Thrasea Paetus said he would rather be killed today than exiled tomorrow. Musonius Rufus — Epictetus's own teacher — challenged him: if you're choosing death because you think it's the heavier punishment, that's foolish. If you're choosing it because you think it's lighter, who gave you the choice? Why not learn to work with what you've been given?","Thrasea preferred death to exile. Rufus replied: if death is the heavier punishment, your choice is foolish. If lighter, who gave you the authority to choose? Study contentment with what is given, not preference among misfortunes.","The Stoic challenge: don't choose between misfortunes — learn to be content with whichever arrives.","Thrasea Paetus (d. 66 CE): Stoic senator forced to suicide by Nero. Musonius Rufus (c. 30–101 CE): Epictetus's teacher, himself exiled by Nero. The exchange is between two men who both suffered under tyranny — this is not armchair philosophy. Rufus's point is subtle: even the choice between punishments is an attachment to control you don't have."
"1.8","1.1","8","What, then, did Agrippinus say? He said, ""I am not a hindrance to myself."" When it was reported to him that his trial was going on in the Senate, he said, ""I hope it may turn out well; but it is the fifth hour of the day""- this was the time when he was used to exercise himself and then take the cold bath- ""let us go and take our exercise."" After he had taken his exercise, one comes and tells him, ""You have been condemned."" ""To banishment,"" he replies, ""or to death?"" ""To banishment."" ""What about my property?"" ""It is not taken from you."" ""Let us go to Aricia then,"" he said, ""and dine.""","Agrippinus received word that the Senate was trying him. 'I hope it turns out well,' he said. 'But it's the fifth hour — time for exercise.' So he went and exercised. Afterward, someone came to tell him he had been condemned. 'To banishment or death?' 'Banishment.' 'And my property?' 'Not confiscated.' 'Then let us go to Aricia and dine.'

This is not indifference. This is a man who has already decided what is his and what is not. The trial is not his. The verdict is not his. The exercise hour, the dinner, the quality of his response — those are his.","Agrippinus heard the Senate was trying him. He went to exercise. Told he was condemned to banishment, he asked two questions: death or exile? Property seized or not? Exile, property intact. 'Then let us go to Aricia and dine.' He had already decided what was his to worry about.","Condemned to exile, Agrippinus asked only the relevant facts, then went to dinner — because the verdict was never his to control.","Paconius Agrippinus: Stoic philosopher and senator, exiled under Nero c. 67 CE. Aricia was a town on the Appian Way south of Rome, a common first stop when leaving the city. The anecdote illustrates Stoic apatheia — not emotional numbness but the absence of irrational disturbance. Agrippinus isn't indifferent to his fate; he has simply pre-decided which parts of it are his concern."
