"Index","Chapter","Thought","D: Original","D: Narrative","D: Refashioned","D: Elegant","D: Summary","D: Distilled","Notes"
"","","","<a href=""https://www.gutenberg.org/cache/epub/1657/pg1657-images.html"">Crito - Plato (Benjamin Jowett translation)</a>","<a href=""https://www.gutenberg.org/cache/epub/1657/pg1657-images.html"">Crito - Plato</a> - Narrative","<a href=""https://www.gutenberg.org/cache/epub/1657/pg1657-images.html"">Crito - Plato</a> - Refashioned","","","",""
"1.1","1.1","1","SOCRATES: Why have you come at this hour, Crito? it must be quite early?

CRITO: Yes, certainly.

SOCRATES: What is the exact time?

CRITO: The dawn is breaking.

SOCRATES: I wonder that the keeper of the prison would let you in.

CRITO: He knows me, because I often come, Socrates; moreover, I have done him a kindness.

SOCRATES: And are you only just arrived?

CRITO: No, I came some time ago.

SOCRATES: Then why did you sit and say nothing, instead of at once awakening me?

CRITO: I should not have liked myself, Socrates, to be in such great trouble and unrest as you are—indeed I should not: I have been watching with amazement your peaceful slumbers; and for that reason I did not awake you, because I wished to minimize the pain. I have always thought you to be of a happy disposition; but never did I see anything like the easy, tranquil manner in which you bear this calamity.

SOCRATES: Why, Crito, when a man has reached my age he ought not to be repining at the approach of death.

CRITO: And yet other old men find themselves in similar misfortunes, and age does not prevent them from repining.

SOCRATES: That is true. But you have not told me why you come at this early hour.

CRITO: I come to bring you a message which is sad and painful; not, as I believe, to yourself, but to all of us who are your friends, and saddest of all to me.

SOCRATES: What? Has the ship come from Delos, on the arrival of which I am to die?

CRITO: No, the ship has not actually arrived, but she will probably be here to-day, as persons who have come from Sunium tell me that they have left her there; and therefore to-morrow, Socrates, will be the last day of your life.

SOCRATES: Very well, Crito; if such is the will of God, I am willing; but my belief is that there will be a delay of a day.

CRITO: Why do you think so?

SOCRATES: I will tell you. I am to die on the day after the arrival of the ship?

CRITO: Yes; that is what the authorities say.","SOCRATES: Why have you come so early, Crito? It must be very early in the morning.

CRITO: Yes, it certainly is.

SOCRATES: What time is it exactly?

CRITO: Dawn is just breaking.

SOCRATES: I'm surprised the prison guard let you in at this hour.

CRITO: He knows me well because I visit often, Socrates. Besides, I've done him some favors.

SOCRATES: Did you just get here?

CRITO: No, I arrived a while ago.

SOCRATES: Then why did you just sit there in silence instead of waking me right away?

CRITO: I wouldn't have wanted to, Socrates. I wouldn't want to be in such distress and sleeplessness as you must be. I've been sitting here watching you sleep so peacefully, and that's exactly why I didn't wake you—I wanted to spare you as much suffering as possible. I've always admired your even temperament, but never more than now, seeing the calm and easy way you bear this disaster.

SOCRATES: Well, Crito, it would be foolish for a man my age to be upset that death is approaching.

CRITO: And yet other old men in similar situations find that age doesn't stop them from being distressed about it.

SOCRATES: That's true enough. But you still haven't told me why you've come so early.

CRITO: I bring you news that is sad and painful—not for you, I think, but for all of us who are your friends, and most painful of all for me.

SOCRATES: What is it? Has the ship arrived from Delos—the one whose return means I must die?

CRITO: No, the ship hasn't actually arrived yet, but it will probably get here today. People coming from Sunium say they saw it there. So tomorrow, Socrates, will be the last day of your life.

SOCRATES: Very well, Crito. If that is the will of God, so be it. But I believe there will be a delay of one more day.

CRITO: Why do you think so?

SOCRATES: I'll explain. I'm to die on the day after the ship arrives, correct?

CRITO: Yes, that's what the authorities say.","SOCRATES: Crito, why are you here so early? It can't even be sunrise yet.

CRITO: It is, just barely.

SOCRATES: What time is it?

CRITO: Dawn is breaking.

SOCRATES: I'm surprised the guard let you in.

CRITO: He knows me—I come here often, and I've been generous with him.

SOCRATES: Have you only just arrived?

CRITO: No, I've been here a while.

SOCRATES: Then why didn't you wake me instead of sitting there saying nothing?

CRITO: Because I couldn't bring myself to do it. Honestly, Socrates, I wouldn't want to be in your position—facing what you're facing—and yet here you are, sleeping peacefully. I've been watching you in amazement. I've always known you to be remarkably composed, but I've never seen anything like the calm way you're handling all of this.

SOCRATES: Crito, when a man reaches my age, he really shouldn't be afraid of dying.

CRITO: But plenty of old men in your situation would disagree—age doesn't cure people of the fear of death.

SOCRATES: True enough. But what brings you here at this hour?

CRITO: I have painful news. Not painful for you, I suspect, but devastating for your friends—and worst of all for me.

SOCRATES: What news? Has the sacred ship from Delos arrived? Its return is my death signal.

CRITO: Not quite—it hasn't docked yet, but travelers from Sunium report it was there when they left. It will almost certainly arrive today, which means tomorrow, Socrates, will be your last day alive.

SOCRATES: Then so be it, if God wills it. But I believe we have one more day than you think.

CRITO: What makes you say that?

SOCRATES: Let me explain. I'm to die the day after the ship arrives, right?

CRITO: That's what the authorities have said, yes.","Crito arrives at Socrates' prison cell before dawn, having sat watching his friend sleep in remarkable tranquility. He brings grim news: the sacred ship from Delos will likely arrive today, meaning Socrates will be executed tomorrow. Socrates receives this calmly, noting that a man his age should not fear death, and suggests from a dream that they may have one more day than expected.","Crito visits Socrates in prison before dawn and reports that the sacred ship from Delos is expected to arrive today, which would set Socrates' execution for the following day. Socrates receives the news with striking composure and suggests there may be a one-day delay.","Crito brings news of Socrates' imminent execution; Socrates receives it with calm equanimity.","Speakers: Socrates, Crito. The sacred ship from Delos refers to the annual Athenian mission commemorating Theseus' voyage to Crete; no executions could be carried out from the time it departed until it returned, which delayed Socrates' death by about a month after his trial. Crito was a wealthy Athenian of the same deme (Alopece) as Socrates and one of his closest lifelong friends. Socrates' calm in the face of death here prefigures the famous death scene in the Phaedo, and his remark about old age and death echoes themes from the Republic's opening conversation with Cephalus."
"1.2","1.1","2","SOCRATES: But I do not think that the ship will be here until to-morrow; this I infer from a vision which I had last night, or rather only just now, when you fortunately allowed me to sleep.

CRITO: And what was the nature of the vision?

SOCRATES: There appeared to me the likeness of a woman, fair and comely, clothed in bright raiment, who called to me and said: O Socrates,

‘The third day hence to fertile Phthia shalt thou go.’ 3

CRITO: What a singular dream, Socrates!

SOCRATES: There can be no doubt about the meaning, Crito, I think.","SOCRATES: But I don't think the ship will arrive until tomorrow. I'm basing this on a dream I had last night—or really just now, since you were kind enough to let me go on sleeping.

CRITO: What was the dream?

SOCRATES: I saw what appeared to be a beautiful woman, dressed in white, who came to me and said: ""Socrates, on the third day you shall reach the fertile land of Phthia.""

CRITO: What a strange dream, Socrates!

SOCRATES: But its meaning seems clear enough, I think, Crito.","SOCRATES: I don't think the ship will get here until tomorrow. I say this because of a vision I had just now, while you kindly let me sleep.

CRITO: What kind of vision?

SOCRATES: A beautiful woman appeared to me, dressed in radiant white, and she called out: ""Socrates, on the third day you shall arrive in fertile Phthia.""

CRITO: What a peculiar dream!

SOCRATES: And yet its meaning is quite clear, don't you think?","Socrates recounts a dream in which a beautiful woman told him he would reach ""fertile Phthia"" on the third day—echoing Achilles' words in the Iliad about returning home. He interprets this as meaning his death (his soul's homecoming) is three days away, not two, and that the ship will be delayed by a day.","Socrates describes a prophetic dream in which a woman tells him he will reach Phthia on the third day, which he interprets as meaning the ship from Delos will arrive tomorrow and his execution will follow the day after.","Socrates interprets a dream quoting Homer as a sign that his death is three days away, not two.","Speakers: Socrates, Crito. The quote ""on the third day you shall reach fertile Phthia"" adapts Achilles' words from Homer's Iliad (9.363), where Achilles threatens to leave Troy and sail home to Phthia in three days. Socrates reinterprets ""Phthia"" as the afterlife—his soul's true home. Socrates frequently reported receiving divine signs and prophetic dreams; this connects to the broader Greek tradition of significant dreams before death, and to his famous daimonion (divine sign) mentioned in the Apology."
"1.3","1.2","3","CRITO: Yes; the meaning is only too clear. But, oh! my beloved Socrates, let me entreat you once more to take my advice and escape. For if you die I shall not only lose a friend who can never be replaced, but there is another evil: people who do not know you and me will believe that I might have saved you if I had been willing to give money, but that I did not care. Now, can there be a worse disgrace than this—that I should be thought to value money more than the life of a friend? For the many will not be persuaded that I wanted you to escape, and that you refused.","CRITO: Yes, the meaning is all too clear. But please, my dear Socrates, I'm begging you one more time: take my advice and escape. If you die, it won't just mean losing a friend who can never be replaced. There's something else that troubles me: people who don't know us will believe that I could have saved you if I'd been willing to spend the money, but that I simply didn't care enough. And what could be more disgraceful than being thought to value money over the life of a friend? Most people will never believe that it was you who refused to escape and that I tried to convince you.","CRITO: Yes, the meaning is painfully clear. But Socrates, I'm pleading with you again—let me help you escape. If you die, I don't just lose an irreplaceable friend. I also face a terrible reputation. People who don't really know either of us will assume I had the means to save you but chose not to—that I cared more about my money than about your life. Can you imagine a worse disgrace? No matter what really happened, the public will never accept that you chose to stay and that I begged you to go.","Crito makes an emotional appeal: Socrates' death means the irreplaceable loss of a friend, and worse, the public will assume Crito valued money over Socrates' life. No one will believe Socrates refused to escape of his own accord.","Crito pleads with Socrates to escape, arguing that he will lose an irreplaceable friend and that the public will blame Crito for valuing money over Socrates' life, since no one will believe Socrates chose to stay.","Crito begs Socrates to escape, fearing both personal loss and public disgrace if people think he failed to save his friend.","Speaker: Crito. This passage reveals Crito's dual motivation: genuine love for Socrates and concern for his own public reputation. His worry about what ""the many"" will think sets up Socrates' key philosophical response about the opinion of the majority versus the opinion of the wise—a central theme of the dialogue. Crito's emphasis on wealth and reputation reflects conventional Athenian aristocratic values, which Socrates will methodically challenge."
"1.4","1.2","4","SOCRATES: But why, my dear Crito, should we care about the opinion of the many? Good men, and they are the only persons who are worth considering, will think of these things truly as they occurred.

CRITO: But you see, Socrates, that the opinion of the many must be regarded, for what is now happening shows that they can do the greatest evil to anyone who has lost their good opinion.

SOCRATES: I only wish it were so, Crito; and that the many could do the greatest evil; for then they would also be able to do the greatest good—and what a fine thing this would be! But in reality they can do neither; for they cannot make a man either wise or foolish; and whatever they do is the result of chance.","SOCRATES: But why, my dear Crito, should we care about what most people think? The good and reasonable people—the only ones worth considering—will understand the truth of what actually happened.

CRITO: But you can see, Socrates, that we do have to take the opinion of the majority seriously. What's happening to you right now proves that the crowd is perfectly capable of inflicting the greatest harm on anyone who falls out of their favor.

SOCRATES: I only wish that were true, Crito—that the majority could do the greatest harm. Because then they would also be capable of doing the greatest good, and that would be a wonderful thing! But the reality is that they can do neither. They can't make a person wise or foolish. Whatever they do is essentially random.","SOCRATES: But Crito, why should we worry about what ordinary people think? The only opinions that matter belong to good, thoughtful people—and they will see the situation for what it really is.

CRITO: That's easy to say, Socrates, but look at your situation! Public opinion has put you here. The majority clearly has the power to do terrible things to anyone who loses their approval.

SOCRATES: I wish the majority really did have that power, Crito. Because if they could do the greatest evil, they could also do the greatest good—and wouldn't that be something? But in truth, they can do neither. They can't make anyone wise, and they can't make anyone foolish. They just act without real understanding, and the results are essentially a matter of chance.","Socrates dismisses concern about popular opinion: only the judgment of wise and good people matters. When Crito points out that the majority has the power to kill, Socrates counters that true power would require the ability to make people wise or foolish—which the crowd cannot do.","Socrates argues that only the opinions of wise people matter, not the majority's. When Crito objects that the crowd clearly has the power to harm, Socrates replies that since the majority cannot make anyone wise or foolish, their power is ultimately superficial.","Socrates argues the majority's opinion is worthless because they lack the power to make people truly better or worse.","Speakers: Socrates, Crito. This exchange introduces the dialogue's central philosophical theme: the distinction between expert opinion and popular opinion. Socrates' claim that the many ""can do neither the greatest evil nor the greatest good"" connects to the Gorgias, where he argues that tyrants have no real power because they cannot achieve what is truly good. The argument also foreshadows the extended analogy (in Part 2) between the expert trainer of the body and the expert in matters of justice for the soul."
"1.5","1.2","5","CRITO: Well, I will not dispute with you; but please to tell me, Socrates, whether you are not acting out of regard to me and your other friends: are you not afraid that if you escape from prison we may get into trouble with the informers for having stolen you away, and lose either the whole or a great part of our property; or that even a worse evil may happen to us? Now, if you fear on our account, be at ease; for in order to save you, we ought surely to run this, or even a greater risk; be persuaded, then, and do as I say.

SOCRATES: Yes, Crito, that is one fear which you mention, but by no means the only one.","CRITO: Well, I won't argue that point. But tell me, Socrates—are you holding back out of concern for me and your other friends? Are you worried that if you escape, the informers will come after us for helping you, and we'll lose our property or suffer something even worse? If that's what you're afraid of, put it out of your mind. We should absolutely be willing to take that risk to save you—or even a greater one. Please, let me persuade you. Do as I say.

SOCRATES: Yes, Crito, that is one of my concerns, but it's far from the only one.","CRITO: Fine, I won't press that point. But Socrates, be honest with me—is the reason you won't escape because you're worried about us? Are you afraid that if we help you break out, the authorities will punish us—seize our property or worse? If so, don't give it another thought. Saving you is worth any risk we might face. So please, listen to me and agree to escape.

SOCRATES: That is one of my concerns, Crito, yes. But it is by no means the only one.","Crito suspects Socrates refuses to escape out of concern for his friends' safety and urges him not to worry—they are willing to accept any risk. Socrates acknowledges this is one concern among several, hinting at deeper reasons for staying.","Crito asks whether Socrates is refusing to escape out of fear that his friends will be punished, and assures him they willingly accept the risk. Socrates confirms this is only one of his concerns.","Crito urges Socrates not to let concern for his friends' safety prevent his escape; Socrates hints at deeper reasons for refusing.","Speakers: Crito, Socrates. The ""informers"" (sycophantai) were a notorious feature of Athenian legal culture—professional prosecutors who brought charges for profit. Crito's willingness to risk his fortune reflects his genuine devotion, but Socrates' cryptic reply (""by no means the only one"") signals that his refusal is grounded in philosophical principle, not practical fear. This sets up the moral argument that will dominate the rest of the dialogue."
"1.6","1.2","6","CRITO: Fear not—there are persons who are willing to get you out of prison at no great cost; and as for the informers, they are far from being exorbitant in their demands—a little money will satisfy them. My means, which are certainly ample, are at your service, and if you have a scruple about spending all mine, here are strangers who will give you the use of theirs; and one of them, Simmias the Theban, has brought a large sum of money for this very purpose; and Cebes and many others are prepared to spend their money in helping you to escape. I say, therefore, do not hesitate on our account, and do not say, as you did in the court that you will have a difficulty in knowing what to do with yourself anywhere else. For men will love you in other places to which you may go, and not in Athens only; there are friends of mine in Thessaly, if you like to go to them, who will value and protect you, and no Thessalian will give you any trouble. Nor can I think that you are at all justified, Socrates, in betraying your own life when you might be saved; in acting thus you are playing into the hands of your enemies, who are hurrying on your destruction. And further I should say that you are deserting your own children; for you might bring them up and educate them; instead of which you go away and leave them, and they will have to take their chance; and if they do not meet with the usual fate of orphans, there will be small thanks to you. No man should bring children into the world who is unwilling to persevere to the end in their nurture and education.","CRITO: Then don't be afraid—there are people ready to get you out of prison, and it won't even cost that much. As for the informers, their demands are quite modest; a little money will satisfy them. My own resources, which are more than enough, are entirely at your disposal. And if you have any hesitation about using all of my money, there are foreigners here who will contribute theirs. One of them, Simmias of Thebes, has brought a large sum specifically for this purpose. Cebes and many others are also prepared to help fund your escape.

So please, don't hold back on our account, and don't repeat what you said at the trial—that you wouldn't know what to do with yourself in exile. People will welcome you in other places, not just Athens. I have friends in Thessaly who will take care of you and protect you, and no one there will give you any trouble.

Beyond all that, Socrates, I don't think you're justified in throwing your life away when you could be saved. You're playing right into the hands of your enemies—doing exactly what they want by hurrying along your own destruction.

And what about your children? You could stay alive to raise and educate them. Instead, you're going to abandon them and leave them to whatever fate befalls orphans. A man who brings children into the world has a responsibility to see their upbringing through to the end.","CRITO: Don't worry about the practical obstacles. There are people willing to arrange your escape, and the cost is manageable. The informers can be bought off cheaply. I have plenty of money, and it's all yours. If that makes you uncomfortable, others are ready to contribute—Simmias of Thebes has brought a large sum for exactly this purpose, and Cebes and many others are prepared to help as well.

So don't hesitate on our account. And don't say, as you did during the trial, that you wouldn't know what to do with yourself outside Athens. You'll be welcomed elsewhere. I have friends in Thessaly who would gladly protect you, and no one there would bother you.

Frankly, Socrates, I think what you're doing is wrong. You're giving up your life when it could be saved. You're handing your enemies exactly what they want. And think of your sons—you could be there to raise and educate them. Instead you'll leave them as orphans to fend for themselves. Anyone who brings children into the world owes it to them to see their upbringing through.","Crito lays out the practical case for escape: money is available from multiple friends including Simmias and Cebes, exile in Thessaly would be safe and welcoming, and Socrates owes it to his children not to abandon them as orphans. Refusing to escape, Crito argues, is playing directly into the hands of Socrates' enemies.","Crito details the escape plan: funding is available from himself, Simmias, Cebes, and others; Thessaly offers safe refuge; and Socrates has a duty to his children. He argues that choosing death when escape is possible serves only Socrates' enemies.","Crito presents the practical case for escape: money, safe haven, and the moral obligation to raise one's own children.","Speaker: Crito. Simmias and Cebes of Thebes are Pythagorean philosophers who appear prominently in the Phaedo as Socrates' principal interlocutors on his final day, debating the immortality of the soul. Crito's mention of Thessaly is ironic—Socrates will later (through the voice of the Laws) describe Thessaly as a lawless place. The argument about children anticipates Socrates' own rebuttal: the Laws will argue that true friends will care for his children whether he lives or dies, and that a just life matters more than mere survival."
"1.7","1.2","7","But you appear to be choosing the easier part, not the better and manlier, which would have been more becoming in one who professes to care for virtue in all his actions, like yourself. And indeed, I am ashamed not only of you, but of us who are your friends, when I reflect that the whole business will be attributed entirely to our want of courage. The trial need never have come on, or might have been managed differently; and this last act, or crowning folly, will seem to have occurred through our negligence and cowardice, who might have saved you, if we had been good for anything; and you might have saved yourself, for there was no difficulty at all. See now, Socrates, how sad and discreditable are the consequences, both to us and you. Make up your mind then, or rather have your mind already made up, for the time of deliberation is over, and there is only one thing to be done, which must be done this very night, and, if we delay at all, will be no longer practicable or possible; I beseech you therefore, Socrates, be persuaded by me, and do as I say.","You seem to be choosing the easier path rather than the better and more courageous one—which would be more fitting for someone who claims to have spent his whole life caring about virtue. Honestly, I'm ashamed—not just of you, but of all of us, your friends—when I think about how this whole affair will look. People will say it was entirely due to our cowardice and lack of resolve. The trial itself need never have happened, or could have gone differently. And now this final act of folly—letting you die—will seem like the result of our sheer negligence and spinelessness, since we could have saved you if we were worth anything at all. And you could have saved yourself—there was really no difficulty in it.

Think about it, Socrates—consider how shameful and pitiful the consequences will be, for both you and us. Make your decision now—or rather, your decision should already be made, because the time for deliberation is over. There is only one thing to do, and it must be done tonight. If we delay at all, it will be too late. I beg you, Socrates—listen to me and do as I say.","You're taking the easy way out rather than the brave and honorable path—and that seems beneath someone who has always claimed to value virtue above everything. To be frank, I'm ashamed—not only of you but of all your friends. The whole world will blame our cowardice for everything that happened. The trial didn't have to go the way it did. This final disaster—your death—will look like it happened because we were too cowardly and careless to prevent it, when saving you was well within our power. You could have saved yourself too—it really wouldn't have been hard.

Socrates, think about how disgraceful this will look for all of us. The time for debate is over. There is only one course of action, and it has to happen tonight—if we wait any longer, it will be impossible. Please, Socrates, I'm begging you: listen to me.","Crito concludes his appeal with a charge of moral cowardice: choosing death over escape is the easy path, unworthy of a man devoted to virtue. The whole affair—trial, conviction, and execution—will be blamed on the friends' spinelessness. The time for deliberation is over; action must come tonight or not at all.","Crito concludes his plea by arguing that Socrates is choosing the easy path over the courageous one, shaming both himself and his friends. He urges immediate action, insisting that tonight is the last chance for escape.","Crito accuses Socrates of moral cowardice for choosing death over escape and demands an immediate decision.","Speaker: Crito. This passage is the climax of Crito's appeal and represents the conventional Greek aristocratic view of virtue (arete) as requiring bold, decisive action. Crito's accusation that Socrates is choosing ""the easier part, not the better and manlier"" ironically inverts Socrates' own framework: Socrates will argue that true courage lies in obeying justice even unto death. The urgency—""it must be done this very night""—adds dramatic tension and sets the stage for Socrates' measured philosophical response in Part 2."
"2.1","2.1","1","SOCRATES: Dear Crito, your zeal is invaluable, if a right one; but if wrong, the greater the zeal the greater the danger; and therefore we ought to consider whether I shall or shall not do as you say. For I am and always have been one of those natures who must be guided by reason, whatever the reason may be which upon reflection appears to me to be the best; and now that this chance has befallen me, I cannot repudiate my own words: the principles which I have hitherto honoured and revered I still honour, and unless we can at once find other and better principles, I am certain not to agree with you; no, not even if the power of the multitude could inflict many more imprisonments, confiscations, deaths, frightening us like children with hobgoblin terrors. What will be the fairest way of considering the question? Shall I return to your old argument about the opinions of men?—we were saying that some of them are to be regarded, and others not. Now were we right in maintaining this before I was condemned? And has the argument which was once good now proved to be talk for the sake of talking—mere childish nonsense? That is what I want to consider with your help, Crito:—whether, under my present circumstances, the argument appears to be in any way different or not; and is to be allowed by me or disallowed. That argument, which, as I believe, is maintained by many persons of authority, was to the effect, as I was saying, that the opinions of some men are to be regarded, and of other men not to be regarded. Now you, Crito, are not going to die to-morrow—at least, there is no human probability of this—and therefore you are disinterested and not liable to be deceived by the circumstances in which you are placed. Tell me then, whether I am right in saying that some opinions, and the opinions of some men only, are to be valued, and that other opinions, and the opinions of other men, are not to be valued. I ask you whether I was right in maintaining this?","SOCRATES: Dear Crito, your passion is admirable -- if it is pointed in the right direction. But if it is misguided, the stronger your passion, the greater the danger. So we need to carefully consider whether I should do as you urge or not. For I have always been the kind of person who follows wherever reason leads, guided by whatever argument, upon reflection, seems best to me. And now that this fate has come upon me, I cannot abandon my own principles. The values I have honoured and upheld my whole life I still honour today. Unless we can find better principles to replace them, I will certainly not agree with you -- not even if the power of the crowd could bring upon me many more imprisonments, seizures of property, and executions, trying to frighten us like children with tales of monsters.

What is the fairest way to examine this question? Let me return to your old argument about the opinions of others. We used to say that some opinions deserve our attention and others do not. Were we right to hold this view before my conviction? Or has that argument, which once seemed sound, now turned out to be nothing but empty talk -- mere childish nonsense? That is what I want to examine with your help, Crito: whether, given my present situation, the argument looks any different, or whether it remains the same and should still guide us.

The argument, which I believe many thoughtful people support, was this: that the opinions of some people deserve to be taken seriously, while the opinions of others do not. Now you, Crito, are not about to die tomorrow -- at least, there is no reason to expect it -- and so you can think clearly, without being swayed by the circumstances I find myself in. Tell me, then: was I right in saying that we should value certain opinions, specifically the opinions of certain people, while disregarding others? Was I right to maintain this?","SOCRATES: Dear Crito, your enthusiasm would be wonderful if it is rightly directed. But if it is wrong, the more intense it is, the more dangerous it becomes. So we must think carefully about whether I should follow your advice.

I have always been someone who follows reason. Whatever argument seems strongest after careful thought -- that is what I follow. Now that I face this crisis, I will not throw away my principles. The values I have lived by still stand, and unless we find better ones to replace them, I will not be swayed -- not even if the mob could pile on more punishments, more imprisonments, more threats of death, trying to scare us like children.

So let us think about this fairly. We have always said that some opinions matter and others do not. Was that true before I was sentenced? Or was it just talk? That is what I need to work through with you, Crito -- whether the argument still holds in my current situation.

The principle was this: the opinions of some people are worth considering, while those of others are not. Now, you are not the one facing death tomorrow, so you can think about this without bias. Tell me: was I right to hold this view?","Socrates insists that his lifelong commitment to reason must not be abandoned under pressure. He asks whether the principle they have always held -- that only some opinions deserve respect, not all -- remains valid even now that he faces execution, or whether fear has changed anything.","Socrates responds to Crito's plea by insisting they must follow reason, not emotion. He reintroduces their longstanding principle that only some opinions are worth heeding, asking Crito whether this still holds true.","We must follow reason, not fear, and only certain opinions deserve our attention.","Speaker: Socrates. This passage marks the turning point from Crito's emotional appeal (Part 1) to Socrates' rational counter-argument. Socrates employs his characteristic method of returning to first principles, a hallmark of the Socratic elenchus. The insistence on following reason regardless of consequences echoes the Apology (28b-d), where Socrates declares he will obey the god rather than the court. The phrase about frightening 'like children with hobgoblin terrors' anticipates the Gorgias (473d), where Socrates similarly dismisses threats as irrelevant to philosophical reasoning."
"2.2","2.1","2","CRITO: Certainly.

SOCRATES: The good are to be regarded, and not the bad?

CRITO: Yes.

SOCRATES: And the opinions of the wise are good, and the opinions of the unwise are evil?

CRITO: Certainly.

SOCRATES: And what was said about another matter? Is the pupil who devotes himself to the practice of gymnastics supposed to attend to the praise and blame and opinion of every man, or of one man only—his physician or trainer, whoever he may be?

CRITO: Of one man only.

SOCRATES: And he ought to fear the censure and welcome the praise of that one only, and not of the many?

CRITO: Clearly so.

SOCRATES: And he ought to act and train, and eat and drink in the way which seems good to his single master who has understanding, rather than according to the opinion of all other men put together?

CRITO: True.

SOCRATES: And if he disobeys and disregards the opinion and approval of the one, and regards the opinion of the many who have no understanding, will he not suffer evil?

CRITO: Certainly he will.

SOCRATES: And what will the evil be, whither tending and what affecting, in the disobedient person?

CRITO: Clearly, affecting the body; that is what is destroyed by the evil.","CRITO: Certainly.

SOCRATES: We should value the good opinions and disregard the bad ones?

CRITO: Yes.

SOCRATES: And the opinions of the wise are good, while the opinions of the foolish are bad?

CRITO: Certainly.

SOCRATES: Now, what did we say about the following case? When someone devotes himself to physical training, does he pay attention to the praise, criticism, and opinions of just anyone? Or does he listen only to one person -- his doctor or trainer?

CRITO: Only to that one person.

SOCRATES: So he should welcome the praise and fear the criticism of that one expert alone, not the opinions of the crowd?

CRITO: Clearly so.

SOCRATES: And he should train, exercise, eat, and drink in whatever way his trainer -- the one who truly understands -- thinks best, rather than following the opinions of everyone else combined?

CRITO: True.

SOCRATES: And if he disobeys this expert and disregards his guidance, choosing instead to follow the opinion of the uninformed crowd, will he not suffer harm?

CRITO: He certainly will.

SOCRATES: And what kind of harm will it be? What part of him will it damage?

CRITO: Obviously his body -- that is what gets ruined.","CRITO: Certainly.

SOCRATES: So we should respect good opinions and ignore bad ones?

CRITO: Yes.

SOCRATES: And wise people have good opinions, while foolish people have bad ones?

CRITO: Of course.

SOCRATES: Consider this analogy. An athlete in training -- does he listen to the praise and criticism of every random person, or only to his doctor or coach?

CRITO: Only his coach.

SOCRATES: He should care about the judgment of that one expert, not the crowd?

CRITO: Yes, clearly.

SOCRATES: He should eat, drink, and train according to his coach's guidance -- the person who actually understands -- rather than following the opinions of everyone else put together?

CRITO: True.

SOCRATES: And if he ignores the expert and follows the crowd instead, he will be harmed?

CRITO: Certainly.

SOCRATES: What kind of harm? What part of him suffers?

CRITO: His body, obviously. That is what gets damaged.","Through the analogy of an athlete who should follow only his trainer's expert guidance rather than the opinions of the uninformed crowd, Socrates establishes that in any domain, we should trust the judgment of the one who knows over the opinions of the many who do not.","Socrates uses the analogy of an athlete's trainer to establish that in matters requiring expertise, we should follow the opinion of the one qualified expert rather than the uninformed majority.","Just as an athlete should follow only his trainer's guidance, we should heed the expert rather than the crowd.","Speakers: Socrates, Crito. This passage demonstrates the Socratic method of elenchus at its most structured: Socrates leads Crito through a series of small, undeniable steps toward a larger conclusion. The trainer analogy is one of Socrates' favourite argumentative devices, appearing also in the Gorgias (464b-465d) where he compares genuine expertise to flattery. Crito's brief affirmative responses ('Certainly,' 'Yes,' 'True') show how the elenchus works through securing agreement at each step before advancing to the next."
