"Index","Chapter","Thought","D: Original","D: Narrative","D: Refashioned","D: Elegant","D: Summary","D: Distilled","Notes"
"","","","<a href=""http://classics.mit.edu/Plato/laws.html"">Laws - Plato (Benjamin Jowett translation)</a>","<a href=""http://classics.mit.edu/Plato/laws.html"">Laws - Plato</a> - Narrative","<a href=""http://classics.mit.edu/Plato/laws.html"">Laws - Plato</a> - Refashioned","","","",""
"1.1","1","1","MEGILLUS, a Lacedaemonian

Tell me, Strangers, is a God or some man supposed to be the author of your laws?

A God, Stranger; in very truth a, God: among us Cretans he is said to have been Zeus, but in Lacedaemon, whence our friend here comes, I believe they would say that Apollo is their lawgiver: would they not, Megillus?

Certainly.

And do you, Cleinias, believe, as Homer tells, that every ninth year Minos went to converse with his Olympian sire, and was inspired by him to make laws for your cities?

Yes, that is our tradition; and there was Rhadamanthus, a brother of his, with whose name you are familiar; he is reputed to have been the justest of men, and we Cretans are of opinion that he earned this reputation from his righteous administration of justice when he was alive.","MEGILLUS, a Lacedaemonian.

""Tell me, Strangers, is a God or some man supposed to be the author of your laws?""

""A God, Stranger; in very truth a God,"" replied Cleinias. ""Among us Cretans he is said to have been Zeus, but in Lacedaemon, whence our friend here comes, I believe they would say that Apollo is their lawgiver. Would they not, Megillus?""

""Certainly,"" said Megillus.

""And do you, Cleinias, believe, as Homer tells, that every ninth year Minos went to converse with his Olympian sire, and was inspired by him to make laws for your cities?""

""Yes, that is our tradition,"" replied Cleinias, ""and there was Rhadamanthus, a brother of his, with whose name you are familiar; he is reputed to have been the justest of men, and we Cretans are of opinion that he earned this reputation from his righteous administration of justice when he was alive.""","""Tell me, strangers -- is a god or a human being supposed to be the author of your laws?""

""A god, stranger -- truly a god,"" Cleinias answered. ""Among us Cretans, it is said to have been Zeus. But in Sparta, where our friend here comes from, I believe they would say Apollo is their lawgiver. Isn't that right, Megillus?""

""Certainly,"" Megillus agreed.

""And do you, Cleinias, believe what Homer tells us -- that every nine years Minos went to converse with his father Zeus on Olympus, and was inspired by him to create laws for your cities?""

""Yes, that is our tradition,"" said Cleinias. ""And there was Rhadamanthus, his brother, whose name you surely know. He is considered to have been the most just of men, and we Cretans believe he earned that reputation through his righteous administration of justice during his lifetime.""","""Tell me -- is a god or a man the author of your laws?""

""A god,"" Cleinias replied. ""For Cretans it was Zeus; for the Spartans, Apollo.""

The Stranger asked whether Cleinias believed Homer's account that Minos visited Zeus every nine years to receive divine instruction for lawmaking. Cleinias confirmed the tradition, adding that Minos's brother Rhadamanthus was renowned as the most just of men.","The dialogue opens with the Athenian Stranger asking whether Cretan and Spartan laws have divine or human origins. Cleinias attributes Cretan law to Zeus and Spartan law to Apollo, and affirms the tradition that Minos received laws directly from Zeus every nine years.","The three interlocutors establish that both Cretan and Spartan legal systems claim divine authorship -- Zeus and Apollo respectively.","Speakers: The Athenian Stranger opens with the question; Cleinias (Cretan) and Megillus (Spartan) respond. -- The dialogue begins in medias res, a common Platonic technique (cf. the opening of the Republic). -- Minos's visits to Zeus every nine years come from Odyssey 19.178-179. -- Rhadamanthus appears in Homer as a judge of the dead (Odyssey 4.564). -- The claim of divine lawgiving sets up the central tension: if laws are divinely authored, can they be criticized? The Stranger will challenge this assumption throughout. -- This opening parallels the Minos dialogue, also attributed to Plato, which examines the nature of law."
"1.2","1","2","Yes, and a noble reputation it was, worthy of a son of Zeus. As you and Megillus have been trained in these institutions, I dare say that you will not be unwilling to give an account of your government and laws; on our way we can pass the time pleasantly in about them, for I am told that the distance from Cnosus to the cave and temple of Zeus is considerable; and doubtless there are shady places under the lofty trees, which will protect us from this scorching sun. Being no longer young, we may often stop to rest beneath them, and get over the whole journey without difficulty, beguiling the time by conversation.","""Yes, and a noble reputation it was, worthy of a son of Zeus,"" said the Athenian Stranger. ""As you and Megillus have been trained in these institutions, I dare say that you will not be unwilling to give an account of your government and laws; on our way we can pass the time pleasantly in talking about them, for I am told that the distance from Cnosus to the cave and temple of Zeus is considerable; and doubtless there are shady places under the lofty trees, which will protect us from this scorching sun. Being no longer young, we may often stop to rest beneath them, and get over the whole journey without difficulty, beguiling the time by conversation.""","""Yes, and a noble reputation it was -- worthy of a son of Zeus,"" the Stranger said. ""Since you and Megillus have been raised under these institutions, I expect you won't mind giving an account of your government and laws. We can pass the time pleasantly discussing them on our walk, because I'm told the distance from Knossos to the cave and temple of Zeus is considerable. There must be shady spots under the tall trees to protect us from this scorching sun. Since we're no longer young, we can stop often to rest beneath them, and make the whole journey without difficulty, filling the time with conversation.""","The Stranger proposes that the three old men discuss law and government during their long walk from Knossos to the cave of Zeus, resting in the shade along the way -- turning a physical journey into a philosophical one.","The Athenian Stranger proposes they discuss government and laws during their walk from Knossos to the cave of Zeus, noting that the journey is long and the shade will provide comfortable resting places for men of their age.","The Stranger proposes a philosophical conversation about law to accompany their pilgrimage from Knossos to the cave of Zeus.","Speaker: Athenian Stranger. -- The cave of Zeus on Mount Ida (or Mount Dicte) was a famous Cretan sanctuary where Zeus was said to have been born and raised. -- The dramatic setting -- a long walk in scorching heat with rest stops -- parallels the Phaedrus, where Socrates and Phaedrus walk outside Athens and rest under a plane tree. -- The phrase 'beguiling the time by conversation' establishes the leisurely, exploratory tone of the Laws, which is the longest of Plato's dialogues. -- The three speakers are all elderly, which matters: the Laws represents Plato's final work, written in old age."
"1.3","1","3","Yes, Stranger, and if we proceed onward we shall come to groves of cypresses, which are of rare height and beauty, and there are green meadows, in which we may repose and converse.

Very good.

Very good, indeed; and still better when we see them; let us move on cheerily.

I am willing-And first, I want to know why the law has ordained that you shall have common meals and gymnastic exercises, and wear arms.","""Yes, Stranger,"" said Cleinias, ""and if we proceed onward we shall come to groves of cypresses, which are of rare height and beauty, and there are green meadows, in which we may repose and converse.""

""Very good.""

""Very good, indeed; and still better when we see them. Let us move on cheerily.""

""I am willing,"" said the Athenian Stranger. ""And first, I want to know why the law has ordained that you shall have common meals and gymnastic exercises, and wear arms.""","""Yes, Stranger,"" said Cleinias, ""and if we keep going we'll come to groves of cypresses -- remarkably tall and beautiful -- with green meadows where we can rest and talk.""

""Excellent.""

""Even better once we actually see them. Let's walk on with good spirits.""

""Gladly,"" said the Stranger. ""And here is my first question: why has your law ordained that you must have common meals, gymnastic exercises, and bear arms?""","Cleinias describes the beautiful cypress groves ahead. The Stranger agrees to walk on, then immediately poses his first substantive question: why does Cretan law mandate communal dining, gymnastics, and bearing arms?","Cleinias describes the scenic route ahead with cypress groves and meadows. The Stranger agrees to continue walking and immediately raises his first question: why does Cretan law require common meals, gymnastics, and the bearing of arms?","The walk begins, and the Stranger poses his opening question: why does Cretan law mandate communal meals, exercise, and weaponry?","Speakers: Cleinias begins, the Athenian Stranger concludes with the first substantive question. -- The cypress groves and meadows are typical of Cretan landscape along pilgrimage routes. -- The three institutions named -- syssitia (common meals), gymnasia, and arms-bearing -- are the pillars of both Cretan and Spartan military culture. -- The syssitia were communal dining arrangements central to Spartan and Cretan civic life; Aristotle discusses them in Politics 2.10. -- This question initiates the first major argument of Book 1: whether laws should be designed primarily for war."
"1.4","1","4","I think, Stranger, that the aim of our institutions is easily intelligible to any one. Look at the character of our country: Crete is not like Thessaly, a large plain; and for this reason they have horsemen in Thessaly, and we have runners-the inequality of the ground in our country is more adapted to locomotion on foot; but then, if you have runners you must have light arms-no one can carry a heavy weight when running, and bows and arrows are convenient because they are light. Now all these regulations have been made with a view to war, and the legislator appears to me to have looked to this in all his arrangements:-the common meals, if I am not mistaken, were instituted by him for a similar reason, because he saw that while they are in the field the citizens are by the nature of the case compelled to take their meals together for the sake of mutual protection. He seems to me to have thought the world foolish in not understanding that all are always at war with one another; and if in war there ought to be common meals and certain persons regularly appointed under others to protect an army, they should be continued in peace. For what men in general term peace would be said by him to be only a name; in reality every city is in a natural state of war with every other, not indeed proclaimed by heralds, but everlasting. And if you look closely, you will find that this was the intention of the Cretan legislator; all institutions, private as well as public, were arranged by him with a view to war; in giving them he was under the impression that no possessions or institutions are of any value to him who is defeated in battle; for all the good things of the conquered pass into the hands of the conquerors.","""I think, Stranger, that the aim of our institutions is easily intelligible to any one,"" replied Cleinias. ""Look at the character of our country: Crete is not like Thessaly, a large plain; and for this reason they have horsemen in Thessaly, and we have runners -- the inequality of the ground in our country is more adapted to locomotion on foot; but then, if you have runners you must have light arms -- no one can carry a heavy weight when running, and bows and arrows are convenient because they are light.

""Now all these regulations have been made with a view to war, and the legislator appears to me to have looked to this in all his arrangements -- the common meals, if I am not mistaken, were instituted by him for a similar reason, because he saw that while they are in the field the citizens are by the nature of the case compelled to take their meals together for the sake of mutual protection. He seems to me to have thought the world foolish in not understanding that all are always at war with one another; and if in war there ought to be common meals and certain persons regularly appointed under others to protect an army, they should be continued in peace.

""For what men in general term peace would be said by him to be only a name; in reality every city is in a natural state of war with every other, not indeed proclaimed by heralds, but everlasting. And if you look closely, you will find that this was the intention of the Cretan legislator; all institutions, private as well as public, were arranged by him with a view to war; in giving them he was under the impression that no possessions or institutions are of any value to him who is defeated in battle; for all the good things of the conquered pass into the hands of the conquerors.""","""I think the aim of our institutions is easily understood by anyone,"" Cleinias replied. ""Consider the character of our land: Crete is not like Thessaly, a broad plain. That's why Thessaly has cavalry, while we have foot-soldiers. Our rough, hilly terrain is better suited to movement on foot. And if you have runners, you need light weapons -- no one can carry heavy equipment while running, so bows and arrows are practical because of their weight.

""All these arrangements were made with war in mind, and the lawgiver seems to have had this purpose behind everything he established. The common meals, I believe, were instituted for the same reason: he saw that soldiers in the field are naturally compelled to eat together for mutual protection, and he thought the world was foolish for not recognizing that everyone is always at war with everyone else. If common meals and organized command structures are necessary in wartime, they should be maintained in peacetime too.

""What most people call 'peace' he would say is just a word. In reality, every city exists in a permanent state of war with every other city -- not war declared by heralds, but an everlasting condition. Look closely and you'll find this was the Cretan lawgiver's guiding principle: every institution, private and public alike, was designed with war in view. His conviction was that no possessions or institutions have any value to the defeated, because everything the conquered own passes into the hands of the conquerors.""","Cleinias explains that Crete's mountainous terrain shaped its military culture: light infantry instead of cavalry, bows instead of heavy arms. Every institution -- common meals, gymnastics, arms-bearing -- was designed for war. The lawgiver believed that what people call 'peace' is merely a name: in reality, every city is in a permanent state of war with every other. Nothing has value to the defeated, since all good things pass to the victors.","Cleinias argues that all Cretan institutions were designed with war in mind, from light armaments suited to mountainous terrain to communal meals modeled on military camps. He presents the Cretan lawgiver's radical thesis: peace is an illusion, and every city exists in perpetual war with every other.","Cleinias articulates the Cretan lawgiver's foundational thesis: all institutions exist for war, because peace between cities is merely a name for undeclared perpetual conflict.","Speaker: Cleinias. -- This passage presents a Hobbesian 'war of all against all' centuries before Hobbes. -- The geographic determinism argument (terrain shapes military organization and thus political institutions) anticipates Montesquieu's climate theory in The Spirit of the Laws. -- The syssitia (common meals) were attributed to Minos by ancient tradition. Aristotle (Politics 2.10) notes that Cretan common meals predated Spartan ones. -- The claim that 'peace is only a name' echoes Heraclitus's fragment that 'war is the father of all things' (DK 53). -- The Stranger will spend much of Book 1 dismantling this war-centric view of legislation."
"1.5","1","5","You appear to me, Stranger, to have been thoroughly trained in the Cretan institutions, and to be well informed about them; will you tell me a little more explicitly what is the principle of government which you would lay down? You seem to imagine that a well governed state ought to be so ordered as to conquer all other states in war: am I right in supposing this to be your meaning?","""You appear to me, Stranger, to have been thoroughly trained in the Cretan institutions, and to be well informed about them,"" said the Athenian Stranger. ""Will you tell me a little more explicitly what is the principle of government which you would lay down? You seem to imagine that a well governed state ought to be so ordered as to conquer all other states in war: am I right in supposing this to be your meaning?""","""You seem to have been thoroughly educated in Cretan institutions and to know them well,"" the Stranger said. ""But tell me more precisely: what principle of government would you establish? You appear to believe that a well-governed state should be organized so as to conquer all other states in war. Am I correct in understanding your position?""","The Stranger distills Cleinias's position to a sharp question: does good governance reduce to military superiority over other states?","The Athenian Stranger presses Cleinias to clarify his principle of government, asking whether he truly believes a well-governed state should be organized primarily to conquer other states in war.","The Stranger challenges Cleinias to confirm whether he equates good governance with military supremacy.","Speaker: Athenian Stranger. -- This is the Socratic method at work: the Stranger restates Cleinias's position in its starkest form to test whether he will defend it. -- The question sets up the central argument of Book 1: whether virtue in its entirety, not just military courage, should be the aim of legislation. -- Cf. Republic 1, where Thrasymachus defines justice as the advantage of the stronger -- a similar reductive claim that Socrates dismantles."
"1.6","1","6","Certainly; and our Lacedaemonian friend, if I am not mistaken, will agree with me.

Why, my good friend, how could any Lacedaemonian say anything else?

And is what you say applicable only to states, or also to villages?

To both alike.

The case is the same?

Yes.

And in the village will there be the same war of family against family, and of individual against individual?

The same.

And should each man conceive himself to be his own enemy:-what shall we say?

O Athenian Stranger-inhabitant of Attica I will not call you, for you seem to deserve rather to be named after the goddess herself, because you go back to first principles you have thrown a light upon the argument, and will now be better able to understand what I was just saying-that all men are publicly one another's enemies, and each man privately his own.

(Ath.) My good sir, what do you mean?)--

Moreover, there is a victory and defeat-the first and best of victories, the lowest and worst of defeats-which each man gains or sustains at the hands, not of another, but of himself; this shows that there is a war against ourselves going on within every one of us.

Let us now reverse the order of the argument: Seeing that every individual is either his own superior or his own inferior, may we say that there is the same principle in the house, the village, and the state?

You mean that in each of them there is a principle of superiority or inferiority to self?

Yes.

You are quite right in asking the question, for there certainly is such a principle, and above all in states; and the state in which the better citizens win a victory over the mob and over the inferior classes may be truly said to be better than itself, and may be justly praised, where such a victory is gained, or censured in the opposite case.","""Certainly; and our Lacedaemonian friend, if I am not mistaken, will agree with me,"" said Cleinias.

""Why, my good friend, how could any Lacedaemonian say anything else?"" replied Megillus.

""And is what you say applicable only to states, or also to villages?"" asked the Stranger.

""To both alike.""

""The case is the same?""

""Yes.""

""And in the village will there be the same war of family against family, and of individual against individual?""

""The same.""

""And should each man conceive himself to be his own enemy -- what shall we say?""

""O Athenian Stranger -- inhabitant of Attica I will not call you, for you seem to deserve rather to be named after the goddess herself -- because you go back to first principles you have thrown a light upon the argument, and will now be better able to understand what I was just saying: that all men are publicly one another's enemies, and each man privately his own.""

""My good sir, what do you mean?"" asked the Athenian.

""Moreover, there is a victory and defeat -- the first and best of victories, the lowest and worst of defeats -- which each man gains or sustains at the hands, not of another, but of himself; this shows that there is a war against ourselves going on within every one of us.""

""Let us now reverse the order of the argument,"" said the Stranger. ""Seeing that every individual is either his own superior or his own inferior, may we say that there is the same principle in the house, the village, and the state?""

""You mean that in each of them there is a principle of superiority or inferiority to self?""

""Yes.""

""You are quite right in asking the question, for there certainly is such a principle, and above all in states; and the state in which the better citizens win a victory over the mob and over the inferior classes may be truly said to be better than itself, and may be justly praised, where such a victory is gained, or censured in the opposite case.""","""Certainly -- and our Spartan friend, unless I'm mistaken, will agree with me,"" said Cleinias.

""How could any Spartan say otherwise?"" Megillus replied.

""Does your principle apply only to states, or also to villages?"" the Stranger asked.

""To both equally.""

""The situation is the same?""

""Yes.""

""And within the village, there is the same war of family against family, individual against individual?""

""The same.""

""And should each person consider himself his own enemy? What do we say to that?""

""Athenian Stranger -- no, I won't merely call you an inhabitant of Attica, for you deserve to be named after the goddess Athena herself -- by going back to first principles you've illuminated the argument. Now you'll better understand what I was saying: all people are publicly one another's enemies, and each person is privately his own enemy.""

""My good sir, what exactly do you mean?""

""There is a victory and a defeat -- the first and best of victories, the lowest and worst of defeats -- that each person wins or suffers not at another's hands, but at his own. This proves there is a war within each of us against ourselves.""

""Let's reverse the direction of the argument,"" said the Stranger. ""If every individual is either superior or inferior to himself, can we say the same principle operates in the household, the village, and the state?""

""You mean that in each of them there is a principle of being superior or inferior to oneself?""

""Exactly.""

""You're absolutely right to ask, because there certainly is such a principle -- above all in states. A state where the better citizens prevail over the mob and the inferior classes can truly be called better than itself and deserves praise. Where the opposite occurs, it deserves censure.""","Megillus and Cleinias both affirm that war is the natural condition -- between states, villages, families, and individuals. The Stranger pushes the logic to its conclusion: each person is his own enemy. Cleinias embraces this, declaring the greatest victory is over oneself. The Stranger then reverses the argument: if individuals can be superior or inferior to themselves, the same applies to households, villages, and states. A state where better citizens prevail over worse ones is 'better than itself.'","The Stranger extends the war thesis from states down to villages, families, and individuals, establishing that each person is his own enemy. Cleinias agrees that self-conquest is the highest victory. They conclude that a state where better citizens prevail over worse ones can be called 'superior to itself.'","The logic of universal war leads to its most important battlefield: the war within the self, where the greatest victory is self-mastery.","Speakers: Cleinias, Megillus, and the Athenian Stranger in rapid exchange. -- Cleinias's compliment comparing the Stranger to Athena (goddess of wisdom) rather than merely calling him 'Athenian' is a mark of high respect. -- 'Superior to oneself' and 'inferior to oneself' are key Platonic concepts from Republic 4.430e-431a, where Socrates discusses self-mastery in relation to the tripartite soul. -- The idea that the greatest victory is over oneself appears also in Plato's Phaedrus (256b) and the Republic. -- The political extension -- a state 'better than itself' when the virtuous prevail -- anticipates the class analysis of the Republic. -- The Stranger is using the Socratic technique of scaling arguments: from individual to household to village to state (cf. Republic 2.368d-369a)."
"1.7","1","7","Whether the better is ever really conquered by the worse, is a question which requires more discussion, and may be therefore left for the present. But I now quite understand your meaning when you say that citizens who are of the same race and live in the same cities may unjustly conspire, and having the superiority in numbers may overcome and enslave the few just; and when they prevail, the state may be truly called its own inferior and therefore bad; and when they are defeated, its own superior and therefore good.","""Whether the better is ever really conquered by the worse, is a question which requires more discussion, and may be therefore left for the present,"" said the Athenian Stranger. ""But I now quite understand your meaning when you say that citizens who are of the same race and live in the same cities may unjustly conspire, and having the superiority in numbers may overcome and enslave the few just; and when they prevail, the state may be truly called its own inferior and therefore bad; and when they are defeated, its own superior and therefore good.""","""Whether the better is ever truly conquered by the worse requires further discussion, so let's set it aside for now,"" the Stranger said. ""But I understand your meaning clearly: citizens of the same race, living in the same city, may unjustly conspire together, and through sheer numbers they may overpower and enslave the just few. When the unjust majority prevails, the state is rightly called inferior to itself -- and therefore bad. When they are defeated, the state is superior to itself -- and therefore good.""","The Stranger summarizes: when an unjust majority overpowers the just minority, the state is inferior to itself. When the just prevail, the state is superior to itself. Whether the better can truly be conquered by the worse remains an open question.","The Stranger tables the deeper question of whether the better can truly be conquered by the worse, but confirms his understanding of Cleinias's view: a state ruled by an unjust majority is inferior to itself, while one where the just prevail is superior to itself.","A state where the unjust majority overpowers the just minority is 'inferior to itself' -- a condition worse than external defeat.","Speaker: Athenian Stranger. -- The question set aside -- whether the better can truly be conquered by the worse -- is addressed later in the Laws and extensively in the Republic (the 'decline of regimes' in Books 8-9). -- The concept of majority tyranny anticipates concerns raised by Tocqueville and Mill. -- The notion of a state 'inferior to itself' parallels the Republic's account of how democracies degenerate into tyrannies when the undisciplined many overpower the wise few (Republic 8.555b-562a). -- Setting aside difficult questions for later is a common Platonic dialectical strategy."
"1.8","1","8","Your remark, Stranger, is a paradox, and yet we cannot possibly deny it.

Here is another case for consideration;-in a family there may be several brothers, who are the offspring of a single pair; very possibly the majority of them may be unjust, and the just may be in a minority.

Very possibly.

And you and I ought not to raise a question of words as to whether this family and household are rightly said to be superior when they conquer, and inferior when they are conquered; for we are not now considering what may or may not be the proper or customary way of speaking, but we are considering the natural principles of right and wrong in laws.

What you say, Stranger, is most true.

Quite excellent, in my opinion, as far as we have gone.

Again; might there not be a judge over these brethren, of whom we were speaking?

Certainly.","""Your remark, Stranger, is a paradox, and yet we cannot possibly deny it,"" said Cleinias.

""Here is another case for consideration,"" said the Athenian Stranger. ""In a family there may be several brothers, who are the offspring of a single pair; very possibly the majority of them may be unjust, and the just may be in a minority.""

""Very possibly.""

""And you and I ought not to raise a question of words as to whether this family and household are rightly said to be superior when they conquer, and inferior when they are conquered; for we are not now considering what may or may not be the proper or customary way of speaking, but we are considering the natural principles of right and wrong in laws.""

""What you say, Stranger, is most true,"" said Cleinias.

""Quite excellent, in my opinion, as far as we have gone,"" added Megillus.

""Again; might there not be a judge over these brethren, of whom we were speaking?""

""Certainly.""","""Your observation is paradoxical, Stranger, and yet we can't deny it,"" Cleinias acknowledged.

""Here's another case to consider,"" said the Stranger. ""In a family with several brothers born to the same parents, it's entirely possible that the majority are unjust and the just are in the minority.""

""Entirely possible.""

""Now, we shouldn't get bogged down in verbal disputes about whether such a family is 'superior' when it conquers or 'inferior' when it's conquered. We're not debating proper usage of words -- we're investigating the natural principles of right and wrong in law.""

""What you say is absolutely true,"" Cleinias agreed.

""Quite excellent reasoning, as far as we've come,"" Megillus added.

""Now then -- might there not be a judge appointed over these brothers we've been discussing?""

""Certainly.""","The Stranger applies the argument to a family: if most brothers are unjust and few are just, the question of 'superiority' isn't about words but about natural principles of right and wrong. He then introduces the figure of a judge who must decide between them.","The Stranger scales the argument down to a family of brothers, where the unjust may outnumber the just. He insists they focus not on verbal conventions but on natural principles of right and wrong, then introduces the idea of a judge who must arbitrate between them.","The question of justice versus injustice within a family introduces the need for a judge -- and by extension, a legislator.","Speakers: Cleinias, Athenian Stranger, and Megillus. -- The move from state to family mirrors the Republic's analogy between the soul and the city (Republic 2.368d). -- The insistence on natural principles over verbal conventions echoes Plato's persistent concern with the difference between names and realities (cf. Cratylus, Sophist 218b-c). -- The introduction of the 'judge' figure prepares the ground for the argument about the ideal legislator in 1.9. -- Megillus's brief approval ('Quite excellent') shows his role as the quieter, more agreeable interlocutor."
"1.9","1","9","Now, which would be the better judge-one who destroyed the bad and appointed the good to govern themselves; or one who, while allowing the good to govern, let the bad live, and made them voluntarily submit? Or third, I suppose, in the scale of excellence might be placed a judge, who, finding the family distracted, not only did not destroy any one, but reconciled them to one another for ever after, and gave them laws which they mutually observed, and was able to keep them friends.","""Now, which would be the better judge,"" asked the Athenian Stranger, ""one who destroyed the bad and appointed the good to govern themselves; or one who, while allowing the good to govern, let the bad live, and made them voluntarily submit? Or third, I suppose, in the scale of excellence might be placed a judge, who, finding the family distracted, not only did not destroy any one, but reconciled them to one another for ever after, and gave them laws which they mutually observed, and was able to keep them friends.""","""Which would be the better judge?"" the Stranger asked. ""One who destroys the bad and appoints the good to govern themselves? Or one who lets the good govern while allowing the bad to live, compelling them to submit voluntarily? Or would the highest rank go to a third kind of judge -- one who, finding the family in conflict, destroys no one but instead reconciles them all to one another permanently, gives them laws they mutually observe, and keeps them as friends?""","The Stranger ranks three types of judges: one who destroys the bad, one who subjugates them, and -- best of all -- one who reconciles all parties through shared law and lasting friendship.","The Stranger presents a hierarchy of judges: the lowest destroys the wicked; the middle one subjugates them under the rule of the good; the best reconciles all parties, giving them mutually observed laws that preserve friendship permanently.","The ideal judge does not destroy or subjugate the wicked but reconciles all parties through law and friendship.","Speaker: Athenian Stranger. -- This passage is foundational for Plato's philosophy of law. The best legislator aims not at punishment or domination but at reconciliation and civic friendship (philia). -- This directly challenges the war-centric view Cleinias presented in 1.4. -- The concept of the reconciling judge anticipates restorative justice theory. -- Cf. Republic 1.351d-352a, where Socrates argues that even a band of thieves needs internal justice to function. -- The three-tier ranking (destruction, subjugation, reconciliation) moves from the most violent to the most harmonious -- a progression that mirrors Plato's hierarchy of souls and regimes."
